ID_powiatu;Nazwa powiatu
2063;m. Suwa³ki
3262;m. Szczecin
2476;m. Œwiêtoch³owice
3263;m. Œwinoujœcie
1864;m. Tarnobrzeg
1263;m. Tarnów
0463;m. Toruñ
2477;m. Tychy
0464;m. W³oc³awek
0264;m. Wroc³aw
2478;m. Zabrze
0664;m. Zamoœæ
0862;m. Zielona Góra
2479;m. ¯ory
1411;makowski
2209;malborski
1208;miechowski
1811;mielecki
3014;miêdzychodzki
0803;miêdzyrzecki
2408;miko³owski
0213;milicki
1412;miñski
1413;m³awski
0409;mogileñski
2008;moniecki
2810;mr¹gowski
2409;myszkowski
1209;myœlenicki
3210;myœliborski
0410;nakielski
1606;namys³owski
2811;nidzicki
1812;ni¿añski
2210;nowodworski (gdañski)
1414;nowodworski (mazowiecki
2812;nowomiejski
1210;nowos¹decki
0804;nowosolski
1211;nowotarski
3015;nowotymski
1607;nyski
3016;obornicki
2813;olecki
1608;oleski
0214;oleœnicki
1212;olkuski
2814;olsztyñski
0215;o³awski
2606;opatowski
1007;opoczyñski
1609;opolski
0612;opolski (lubelski)
1415;ostro³êcki
2607;ostrowiecki
1416;ostrowski (mazowiecki)
3017;ostrowski (wielkopolski
2815;ostródzki
3018;ostrzeszowski
1213;oœwiêcimski
1417;otwocki
1008;pabianicki
1009;pajêczañski
0613;parczewski
1418;piaseczyñski
3019;pilski
2608;piñczowski
1010;piotrkowski
2816;piski
3020;pleszewski
1419;p³ocki
1420;p³oñski
1011;poddêbicki
3211;policki
0216;polkowicki
3021;poznañski
1214;proszowicki
1610;prudnicki
1421;pruszkowski
1422;przasnyski
1813;przemyski
1814;przeworski
1423;przysuski
2410;pszczyñski
2211;pucki
0614;pu³awski
1424;pu³tuski
3212;pyrzycki
2411;raciborski
1425;radomski
1012;radomszczañski
0411;radziejowski
0615;radzyñski
3022;rawicki
1013;rawski
1815;ropczycko-sedziszowski
2412;rybnicki
0616;rycki
0412;rypiñski
1816;rzeszowski
2609;sandomierski
1817;sanocki
2009;sejneñski
0413;sêpoleñski
1426;siedlecki
2010;siemiatycki
1014;sieradzki
1427;sierpecki
2610;skar¿yski
1015;skierniewicki
3213;s³awieñski
0805;s³ubicki
3023;s³upecki
2212;s³upski
1428;sochaczewski
1429;soko³owski
2011;sokólski
1818;stalowowolski
2611;starachowicki
3214;stargardzki
2213;starogardzki
2612;staszowski
1611;strzelecki
0806;strzelecko-drezdenecki
0217;strzeliñski
1819;strzy¿owski
0807;sulêciñski
1215;suski
2012;suwalski
3024;szamotulski
3215;szczecinecki
2817;szczycieñski
2216;sztumski
1430;szyd³owiecki
3025;œredzki
0218;œredzki (œl¹ski)
3026;œremski
0219;œwidnicki
0617;œwidnicki
3216;œwidwiñski
0808;œwiebodziñski
0414;œwiecki
1820;tarnobrzeski
2413;tarnogórski
1216;tarnowski
1217;tatrzañski
2214;tczewski
1016;tomaszowski
0618;tomaszowski (lubelski)
0415;toruñski
0220;trzebnicki
0416;tucholski
3027;turecki
1218;wadowicki
0221;wa³brzyski
3217;wa³ecki
1432;warszawski zachodni
0417;w¹brzeski
3028;w¹growiecki
2215;wejherowski
2819;wêgorzewski
1433;wêgrowski
1219;wielicki
1017;wieluñski
1018;wieruszowski
0418;w³oc³awski
0619;w³odawski
2613;w³oszczowski
2415;wodzis³awski
3029;wolsztyñski
1434;wo³omiñski
0222;wo³owski
0223;wroc³awski
3030;wrzesiñski
0812;wschowski
2013;wysokomazowiecki
1435;wyszkowski
0224;zabkowicki
2014;zambrowski
0620;zamojski
2416;zawierciañski
1019;zduñskowolski
1020;zgierski
0225;zgorzelecki
0809;zielonogórski
0226;z³otoryjski
3031;z³otowski
1436;zwoleñski
0810;¿agañski
0811;¿arski
0419;¿niñski
1437;¿uromiñski
1438;¿yrardowski
2417;¿ywiecki
