nr_lokalu	miesiac	kwota
02/004	8	749,12
02/004	9	749,12
02/004	10	769,12
02/004	11	769,12
02/004	12	769,12
02/005	1	654,76
02/005	2	654,76
02/005	3	669,76
02/005	4	679,47
02/005	5	679,47
02/005	6	684,37
02/005	7	785,07
02/005	8	785,07
02/005	9	785,07
02/005	10	816,86
02/005	11	816,86
02/005	12	816,86
02/006	1	873,22
02/006	2	873,22
02/006	3	888,22
02/006	4	890,96
02/006	5	890,96
02/006	6	895,86
02/006	7	950,69
02/006	8	950,69
02/006	9	950,69
02/006	10	966,15
02/006	11	966,15
02/006	12	966,15
02/007	1	556,95
02/007	2	556,95
02/007	3	571,95
02/007	4	576,95
02/007	5	576,95
02/007	6	581,85
02/007	7	768,84
02/007	8	768,84
02/007	9	768,84
02/007	10	774,12
02/007	11	774,12
02/007	12	774,12
02/008	1	793,45
02/008	2	793,45
02/008	3	808,45
02/008	4	806,29
02/008	5	806,29
02/008	6	858,3
02/008	7	882,36
02/008	8	882,36
02/008	9	882,36
02/008	10	909,06
02/008	11	909,06
02/008	12	909,06
02/009	1	915,75
02/009	2	915,75
02/009	3	930,75
02/009	4	957,36
02/009	5	957,36
02/009	6	962,26
02/009	7	1047,18
02/009	8	1047,18
02/009	9	1047,18
02/009	10	1062,73
02/009	11	1062,73
02/009	12	1062,73
02/010	1	675,53
02/010	2	675,53
02/010	3	690,53
02/010	4	688,37
02/010	5	688,37
02/010	6	693,27
02/010	7	791,96
02/010	8	791,96
02/010	9	791,96
02/010	10	818,66
02/010	11	818,66
02/010	12	818,66
02/011	1	873,22
02/011	2	873,22
02/011	3	888,22
02/011	4	890,96
02/011	5	913,84
02/011	6	918,74
02/011	7	950,69
02/011	8	950,69
02/011	9	950,69
02/011	10	973,26
02/011	11	973,26
02/011	12	973,26
02/012	1	798,73
02/012	2	798,73
02/012	3	813,73
02/012	4	822,79
02/012	5	822,79
02/012	6	827,69
02/012	7	1050,22
02/012	8	1050,22
02/012	9	1050,22
02/012	10	1095,52
02/012	11	1095,52
02/012	12	1095,52
02/013	1	841,37
02/013	3	856,37
02/013	4	861,74
02/013	5	861,74
02/013	6	866,64
02/013	7	1025,41
02/013	8	1866,78
02/013	9	1025,41
02/013	10	1026,57
02/013	11	1026,57
02/013	12	1026,57
02/014	1	754,07
02/014	2	754,07
02/014	3	769,07
02/014	4	775,7
02/014	5	775,7
02/014	6	780,6
02/014	7	936,26
02/014	8	936,26
02/014	9	936,26
02/014	10	978,16
02/014	11	978,16
02/014	12	978,16
02/015	1	796,07
02/015	2	796,07
02/015	3	811,07
02/015	4	827,55
02/015	5	827,55
02/015	6	832,45
02/015	7	1006,43
02/015	8	1006,43
02/015	9	1006,43
02/015	10	1010,16
02/015	11	1010,16
02/015	12	1010,16
02/016	1	758,21
02/016	2	758,21
02/016	3	773,21
02/016	4	766,94
02/016	5	766,94
02/016	6	771,84
02/016	7	890,51
02/016	8	890,51
02/016	9	890,51
02/016	10	901,53
02/016	11	901,53
02/016	12	901,53
02/017	1	803,43
02/017	2	803,43
02/017	3	818,43
02/017	4	822,69
02/017	5	822,69
02/017	6	827,59
02/017	7	1027,69
02/017	8	1027,69
02/017	9	1027,69
02/017	10	1028,14
02/017	11	1028,14
02/017	12	1028,14
02/018	1	785,83
02/018	2	785,83
02/018	3	800,83
02/018	4	811,85
02/018	6	816,75
02/018	7	1018,89
02/018	8	1018,89
02/018	9	1018,89
02/018	10	1050,26
02/018	11	1050,26
02/018	12	1050,26
02/019	1	809,9
02/019	2	809,9
02/019	3	824,9
02/019	4	841,35
02/019	5	841,35
02/019	6	846,25
02/019	7	1032,77
02/019	8	1032,77
02/019	9	1032,77
02/019	10	1064,29
02/019	11	1064,29
02/019	12	1064,29
02/020	1	870,48
02/020	2	870,48
02/020	3	885,48
02/020	4	893,41
02/020	5	893,41
02/020	6	898,31
02/020	7	947,97
02/020	8	947,97
02/020	9	947,97
02/020	10	978,71
02/020	11	978,71
02/020	12	978,71
03/001	1	784,75
03/001	2	784,75
03/001	3	784,75
03/001	4	794,38
03/001	5	794,38
03/001	6	794,38
03/001	7	894,09
03/001	8	894,09
03/001	9	894,09
03/001	10	894,36
03/001	11	894,36
03/001	12	894,36
03/002	2	803,55
03/002	3	803,55
03/002	4	816,44
03/002	5	816,44
03/002	6	816,44
03/002	7	974,8
03/002	9	974,8
03/002	10	983,42
03/002	11	983,42
03/002	12	983,42
03/003	1	823,43
03/003	2	823,43
03/003	3	823,43
03/003	4	849,23
03/003	5	849,23
03/003	6	849,23
03/003	7	918,59
03/003	8	918,59
03/003	9	918,59
03/003	10	922,58
03/003	11	922,58
03/003	12	922,58
03/004	1	867,41
03/004	2	867,41
03/004	3	867,41
03/004	4	893,97
03/004	5	893,97
03/004	6	893,97
03/004	7	1059,23
03/004	8	1059,23
03/004	9	1059,23
03/004	10	1063,98
03/004	11	1063,98
03/004	12	1063,98
03/005	1	800,05
03/005	2	800,05
03/005	3	800,05
03/005	4	819,53
03/005	5	819,53
03/005	6	819,53
03/005	7	932,9
03/005	8	932,9
03/005	9	932,9
03/005	10	946,06
03/005	11	946,06
03/005	12	946,06
03/006	1	788,46
03/006	2	788,46
03/006	3	788,46
03/006	4	782,57
03/006	5	782,57
03/006	6	782,57
03/006	7	948,18
03/006	8	948,18
03/006	9	948,18
03/006	10	939,92
03/006	11	939,92
03/006	12	939,92
03/007	1	769,23
03/007	2	769,23
03/007	3	769,23
03/007	4	790,55
03/007	5	790,55
03/007	6	790,55
03/007	7	874,42
03/007	8	874,42
03/007	9	874,42
03/007	10	877,96
03/007	11	877,96
03/007	12	877,96
03/008	1	790,85
03/008	2	790,85
03/008	3	790,85
03/008	4	792,71
03/008	5	792,71
03/008	6	792,71
03/008	7	943,85
03/008	8	943,85
03/008	9	943,85
03/008	10	946,01
03/008	11	946,01
03/008	12	946,01
03/009	1	911,65
03/009	2	911,65
03/009	3	911,65
03/009	4	921,09
03/009	5	921,09
03/009	6	921,09
03/009	7	1026,47
03/009	8	1026,47
03/009	9	1026,47
03/009	10	1046,65
03/009	11	1046,65
03/009	12	1046,65
03/010	1	787,11
03/010	2	787,11
03/010	3	787,11
03/010	4	804,01
03/010	5	804,01
03/010	6	804,01
03/010	7	1011,72
03/010	8	1011,72
03/010	9	1011,72
03/010	10	1029,28
03/010	11	1029,28
03/010	12	1029,28
03/011	1	782,63
03/011	2	782,63
03/011	3	782,63
03/011	4	779,93
03/011	5	779,93
03/011	6	779,93
03/011	7	979,84
03/011	8	979,84
03/011	9	979,84
03/011	10	992,88
03/011	11	992,88
03/011	12	992,88
03/012	1	823,42
03/012	2	823,42
03/012	3	823,42
03/012	4	820,51
03/012	5	820,51
03/012	6	820,51
03/012	7	882,11
03/012	8	882,11
03/012	9	882,11
03/012	10	881,09
03/012	11	881,09
03/012	12	881,09
03/013	1	888,13
03/013	2	888,13
03/013	3	888,13
03/013	4	891,63
03/013	5	891,63
03/013	6	891,63
03/013	7	961,4
03/013	8	961,4
03/013	9	961,4
03/013	10	963,2
03/013	11	963,2
03/013	12	963,2
03/014	1	867,57
03/014	2	867,57
03/014	3	867,57
03/014	4	851,84
03/014	5	851,84
03/014	6	851,84
03/014	7	989,01
03/014	8	989,01
03/014	9	989,01
03/014	10	1000,71
03/014	11	1000,71
03/014	12	1000,71
03/015	1	749,88
03/015	2	749,88
03/015	3	749,88
03/015	4	772,25
03/015	5	772,25
03/015	6	772,25
03/015	7	935,85
03/015	8	935,85
03/015	9	935,85
03/015	10	951,15
03/015	11	951,15
03/015	12	951,15
04/001	1	820,79
04/001	2	820,79
04/001	3	820,79
04/001	4	815
04/001	5	815
04/001	6	815
04/001	7	935,74
04/001	8	935,74
04/001	9	935,74
04/001	10	943,01
04/001	11	943,01
04/001	12	943,01
04/002	1	885,98
04/002	2	885,98
04/002	3	885,98
04/002	4	900,07
04/002	5	900,07
04/002	6	900,07
04/002	7	939,74
04/002	8	939,74
04/002	9	939,74
04/002	10	965
04/002	11	965
04/002	12	965
04/003	1	846,58
04/003	2	846,58
04/003	3	846,58
04/003	4	860,44
04/003	6	860,44
04/003	7	954,67
04/003	8	954,67
04/003	9	954,67
04/003	11	947,45
04/003	12	947,45
04/004	1	829,08
04/004	2	829,08
04/004	3	829,08
04/004	4	838,51
04/004	5	838,51
04/004	6	838,51
04/004	7	1010,87
04/004	8	1010,87
04/004	9	1010,87
04/004	10	1034,3
04/004	11	1034,3
04/004	12	1034,3
04/005	1	770,05
04/005	2	770,05
04/005	3	770,05
04/005	4	786,14
04/005	5	786,14
04/005	6	786,14
04/005	7	911,6
04/005	8	911,6
04/005	9	911,6
04/005	10	902,51
04/005	11	902,51
04/005	12	902,51
04/006	1	908,21
04/006	2	908,21
04/006	3	908,21
04/006	4	915,79
04/006	5	915,79
04/006	6	915,79
04/006	7	982,54
04/006	8	982,54
04/006	9	982,54
04/006	10	968,38
04/006	11	968,38
04/006	12	968,38
04/007	1	812,88
04/007	2	812,88
04/007	3	812,88
04/007	4	810,61
04/007	5	810,61
04/007	6	810,61
04/007	7	979,95
04/007	8	979,95
04/007	9	979,95
04/007	10	992,64
04/007	11	992,64
04/007	12	992,64
04/008	1	824,83
04/008	2	824,83
04/008	3	824,83
04/008	4	826,47
04/008	5	826,47
04/008	6	826,47
04/008	7	945,41
04/008	8	945,41
04/008	9	945,41
04/008	10	922,33
04/008	11	922,33
04/008	12	922,33
04/009	1	764,09
04/009	2	764,09
04/009	3	764,09
04/009	4	777,5
04/009	5	777,5
04/009	6	777,5
04/009	7	925,23
04/009	8	925,23
04/009	9	925,23
04/009	10	913,54
04/009	11	913,54
04/009	12	913,54
04/010	1	848,1
04/010	2	848,1
04/010	3	848,1
04/010	4	856,95
04/010	5	856,95
04/010	6	856,95
04/010	7	939,29
04/010	8	939,29
04/010	9	939,29
04/010	10	951,86
04/010	11	951,86
04/010	12	951,86
04/011	1	800,66
04/011	2	800,66
04/011	3	800,66
04/011	4	799,42
04/011	5	799,42
04/011	6	799,42
04/011	7	976,55
04/011	8	976,55
04/011	9	976,55
04/011	10	967,71
04/011	11	967,71
04/011	12	967,71
04/012	1	911,7
04/012	2	911,7
04/012	3	911,7
04/012	4	920,48
04/012	5	920,48
04/012	6	920,48
04/012	7	1001,21
04/012	8	1001,21
04/012	9	1001,21
04/012	10	1030,08
04/012	11	1030,08
04/012	12	1030,08
04/013	1	908,32
04/013	2	908,32
04/013	3	908,32
04/013	4	897,85
04/013	5	897,85
04/013	6	897,85
04/013	7	979,49
04/013	8	979,49
04/013	9	979,49
04/013	10	964,1
04/013	11	964,1
04/013	12	964,1
04/014	1	823,29
04/014	2	823,29
04/014	3	823,29
04/014	4	847,8
04/014	5	847,8
04/014	6	847,8
04/014	7	909,95
04/014	8	909,95
04/014	9	909,95
04/014	10	923,04
04/014	11	923,04
04/014	12	923,04
04/015	1	908,44
04/015	2	908,44
04/015	3	908,44
04/015	4	932,53
04/015	5	932,53
04/015	6	932,53
04/015	7	1063,18
04/015	8	1063,18
04/015	9	1063,18
04/015	10	1048,81
04/015	11	1048,81
04/015	12	1048,81
05/001	1	762,43
05/001	2	762,43
05/001	3	762,43
05/001	4	771,64
05/001	5	771,64
05/001	6	771,64
05/001	7	848,72
05/001	8	848,72
05/001	9	848,72
05/001	10	873,17
05/001	11	873,17
05/001	12	873,17
05/002	1	779,02
05/002	2	779,02
05/002	3	779,02
05/002	4	792,02
05/002	5	792,02
05/002	6	792,02
05/002	7	922,83
05/002	9	1845,66
05/002	10	932,71
05/002	11	932,71
05/002	12	932,71
05/003	1	840,35
05/003	2	840,35
05/003	3	840,35
05/003	4	854,22
05/003	5	854,22
05/003	6	854,22
05/003	7	976,21
05/003	8	976,21
05/003	9	976,21
05/003	10	1006,5
05/003	11	1006,5
05/003	12	1006,5
05/004	1	822,09
05/004	2	822,09
05/004	3	822,09
05/004	4	846,97
05/004	5	846,97
05/004	6	846,97
05/004	7	1043,04
05/004	8	1043,04
05/004	9	1043,04
05/004	10	1063,51
05/004	11	1063,51
05/004	12	1063,51
05/005	1	814,43
05/005	2	814,43
05/005	3	814,43
05/005	4	824,05
05/005	5	824,05
05/005	7	922,72
05/005	8	922,72
05/005	9	922,72
05/005	10	942,76
05/005	11	942,76
05/005	12	942,76
05/006	1	807,53
05/006	2	807,53
05/006	3	807,53
05/006	4	819,41
05/006	5	819,41
05/006	6	819,41
05/006	7	888
05/006	8	888
05/006	9	888
05/006	10	891,36
05/006	11	891,36
05/006	12	891,36
05/007	1	840,07
05/007	2	840,07
05/007	3	840,07
05/007	4	860,42
05/007	5	860,42
05/007	6	860,42
05/007	7	899,55
05/007	8	899,55
05/007	9	899,55
05/007	10	891,5
05/007	11	891,5
05/007	12	891,5
05/008	1	765,54
05/008	2	765,54
05/008	4	770,55
05/008	5	770,55
05/008	6	770,55
05/008	7	894,07
05/008	9	894,07
05/008	10	922,32
05/008	11	922,32
05/008	12	922,32
05/009	1	792,62
05/009	2	792,62
05/009	3	792,62
05/009	4	796,34
05/009	5	796,34
05/009	6	796,34
05/009	7	934,48
05/009	8	934,48
05/009	9	934,48
05/009	10	952,01
05/009	11	952,01
05/009	12	952,01
05/010	1	740,66
05/010	2	740,66
05/010	3	740,66
05/010	4	743,77
05/010	5	743,77
05/010	6	743,77
05/010	7	807,13
05/010	8	807,13
05/010	9	807,13
05/010	10	816,56
05/010	11	816,56
05/010	12	816,56
05/011	1	759,41
05/011	2	759,41
05/011	3	759,41
05/011	4	765,91
05/011	5	765,91
05/011	6	765,91
05/011	7	886,56
05/011	8	886,56
05/011	9	886,56
05/011	10	922,03
05/011	11	922,03
05/011	12	922,03
05/012	1	755,26
05/012	2	755,26
05/012	3	755,26
05/012	4	767,72
05/012	5	767,72
05/012	6	767,72
05/012	7	907,33
05/012	8	907,33
05/012	9	907,33
05/012	10	905,73
05/012	11	905,73
05/012	12	905,73
05/013	1	807,32
05/013	2	807,32
05/013	3	807,32
05/013	4	787,82
05/013	5	787,82
05/013	6	787,82
05/013	7	962,24
05/013	8	962,24
05/013	9	962,24
05/013	10	946,56
05/013	11	946,56
05/013	12	946,56
05/014	1	850,46
05/014	2	850,46
05/014	3	850,46
05/014	4	876,91
05/014	5	876,91
05/014	6	876,91
05/014	7	1082,73
05/014	8	1082,73
05/014	9	1082,73
05/014	10	1102,9
05/014	11	1102,9
05/014	12	1102,9
05/015	1	786,64
05/015	2	786,64
05/015	3	786,64
05/015	4	801
05/015	5	801
05/015	6	801
05/015	7	967,12
05/015	8	967,12
05/015	9	967,12
05/015	10	991,17
05/015	11	991,17
05/015	12	991,17
05/016	1	798,26
05/016	2	798,26
05/016	3	798,26
05/016	4	804,91
05/016	5	804,91
05/016	6	804,91
05/016	7	903,5
05/016	8	903,5
05/016	9	903,5
05/016	10	938,06
05/016	11	938,06
05/016	12	938,06
05/017	1	745,59
05/017	2	745,59
05/017	3	745,59
05/017	4	787,78
05/017	5	787,78
05/017	7	821,99
05/017	8	821,99
05/017	9	821,99
05/017	10	855,92
05/017	11	855,92
05/017	12	1643,7
05/018	1	783,28
05/018	2	783,28
05/018	3	783,28
05/018	4	795,72
05/018	5	795,72
05/018	6	795,72
05/018	7	820,44
05/018	8	820,44
05/018	9	820,44
05/018	10	820,85
05/018	11	820,85
05/018	12	820,85
05/019	1	909,83
05/019	2	909,83
05/019	3	909,83
05/019	4	942,07
05/019	5	942,07
05/019	6	942,07
05/019	7	1038,9
05/019	8	1038,9
05/019	9	1038,9
05/019	10	1075,13
05/019	11	1075,13
05/019	12	1075,13
05/020	1	791,33
05/020	2	791,33
05/020	3	791,33
05/020	4	824,78
05/020	5	824,78
05/020	6	824,78
05/020	7	946,07
05/020	8	946,07
05/020	9	946,07
05/020	10	965,75
05/020	11	965,75
05/020	12	965,75
06/001	1	895,08
06/001	2	895,08
06/001	3	895,08
06/001	4	911,36
06/001	5	911,36
06/001	6	911,36
06/001	7	977,83
06/001	8	977,83
06/001	9	977,83
06/001	10	989,82
06/001	11	989,82
06/001	12	989,82
06/002	1	757,05
06/002	2	757,05
06/002	3	757,05
06/002	4	783,09
06/002	5	783,09
06/002	6	783,09
06/002	7	1059,21
06/002	8	1059,21
06/002	9	1059,21
06/002	10	1054,85
06/002	11	1054,85
06/002	12	1054,85
06/003	1	762,12
06/003	2	762,12
06/003	3	762,12
06/003	4	800,3
06/003	5	800,3
06/003	6	800,3
06/003	7	993,9
06/003	8	993,9
06/003	9	993,9
06/003	10	1024,07
06/003	11	1024,07
06/003	12	1024,07
06/004	1	794,24
06/004	2	794,24
06/004	3	794,24
06/004	4	806,28
06/004	5	806,28
06/004	6	806,28
06/004	7	997,21
06/004	8	997,21
06/004	9	997,21
06/004	10	980,3
06/004	11	980,3
06/004	12	980,3
06/005	1	783,22
06/005	2	783,22
06/005	3	783,22
06/005	4	800,29
06/005	5	800,29
06/005	6	800,29
06/005	7	1064,01
06/005	8	1064,01
06/005	9	1064,01
06/005	10	1080,39
06/005	11	1080,39
06/005	12	1080,39
06/006	1	920,32
06/006	2	920,32
06/006	3	920,32
06/006	4	948,58
06/006	5	948,58
06/006	6	948,58
06/006	7	983,2
06/006	8	983,2
06/006	9	983,2
06/006	10	975,41
06/006	11	975,41
06/006	12	975,41
06/007	1	911,43
06/007	2	911,43
06/007	3	911,43
06/007	4	959,73
06/007	5	959,73
06/007	6	959,73
06/007	7	968,81
06/007	8	968,81
06/007	9	968,81
06/007	10	986,02
06/007	11	986,02
06/007	12	986,02
06/008	1	814,59
06/008	2	814,59
06/008	3	814,59
06/008	4	836,13
06/008	5	836,13
06/008	6	836,13
06/008	7	1021,35
06/008	8	1021,35
06/008	9	1021,35
06/008	10	1046,97
06/008	11	1046,97
06/008	12	1046,97
06/009	1	761,18
06/009	2	761,18
06/009	3	761,18
06/009	4	796,99
06/009	5	796,99
06/009	6	796,99
06/009	7	882,32
06/009	8	882,32
06/009	9	882,32
06/009	10	912,63
06/009	11	912,63
06/009	12	912,63
06/010	1	891,41
06/010	2	891,41
06/010	3	891,41
06/010	4	907,6
06/010	5	907,6
06/010	6	907,6
06/010	7	1067,62
06/010	8	1067,62
06/010	9	1067,62
06/010	10	1079,88
06/010	11	1079,88
06/010	12	1079,88
