Data m1 m2 m3 m4 m5 m6 m7 m8 m9 m10 m11 m12
21.06.2024 5 2 1 38 45 39 49 38 44 20 18 15
22.06.2024 8 3 3 41 44 47 41 43 38 32 33 16
23.06.2024 3 10 3 47 41 49 39 39 38 32 28 15
24.06.2024 10 5 4 48 38 46 39 47 38 22 33 18
25.06.2024 4 11 11 43 40 38 49 45 43 28 19 14
26.06.2024 4 9 13 42 41 46 38 48 45 30 27 15
27.06.2024 11 11 1 49 43 46 45 49 39 27 20 19
28.06.2024 5 6 6 47 44 48 48 43 39 18 26 18
29.06.2024 12 4 14 44 47 48 44 48 46 31 32 18
30.06.2024 6 12 6 38 49 38 48 46 42 22 33 17
01.07.2024 11 8 2 38 39 44 46 44 42 24 33 17
02.07.2024 2 10 9 43 43 43 46 48 43 26 19 18
03.07.2024 14 10 12 39 47 40 42 44 49 18 33 15
04.07.2024 6 13 8 44 40 42 47 40 47 29 23 16
05.07.2024 2 9 12 46 46 44 47 44 45 32 26 16
06.07.2024 12 9 8 39 49 45 42 48 38 24 25 15
07.07.2024 8 2 12 41 42 45 46 42 46 21 28 14
08.07.2024 11 10 2 48 41 44 44 43 41 30 24 20
09.07.2024 10 13 5 39 40 39 45 46 40 23 32 16
10.07.2024 7 2 2 45 48 42 48 48 42 22 23 20
11.07.2024 10 12 5 39 46 44 38 44 45 30 29 19
12.07.2024 14 10 3 40 41 38 45 41 42 28 21 18
13.07.2024 14 10 12 49 38 40 42 47 48 29 20 18
14.07.2024 7 12 6 46 38 49 46 46 43 22 24 18
15.07.2024 2 12 5 49 40 44 49 48 45 25 28 20
16.07.2024 13 1 14 47 41 44 44 46 45 22 19 15
17.07.2024 4 7 11 38 41 44 38 47 43 32 18 14
18.07.2024 6 7 2 40 46 41 39 48 38 21 31 14
19.07.2024 14 11 10 46 46 42 42 46 42 30 33 16
20.07.2024 2 3 5 48 38 46 48 42 40 28 30 15
21.07.2024 2 10 13 48 48 48 47 47 46 25 23 19
22.07.2024 4 5 2 46 46 42 40 41 48 28 32 18
23.07.2024 13 9 6 40 41 38 42 39 49 23 21 14
24.07.2024 4 13 12 41 38 47 39 45 49 23 28 16
25.07.2024 1 7 13 42 49 38 47 38 49 30 30 20
26.07.2024 12 3 8 38 40 45 47 43 45 23 28 20
27.07.2024 1 11 3 40 42 43 39 40 40 21 19 19
28.07.2024 6 1 12 45 48 49 39 38 38 32 23 14
29.07.2024 9 3 10 43 42 45 46 46 44 24 29 16
30.07.2024 7 10 11 41 42 46 46 48 41 20 23 19
31.07.2024 11 13 9 49 49 42 48 49 45 23 29 16
01.08.2024 4 7 10 47 42 40 45 38 49 22 26 20
02.08.2024 3 7 2 42 45 48 48 44 44 32 20 18
03.08.2024 7 4 10 48 46 44 41 45 44 23 22 17
04.08.2024 13 10 1 44 38 40 49 48 39 33 20 14




