nr_lokalu	miesiac	czynsz	smieci	gaz	woda
01/005	9	676,69	90	16,4	81,56
01/005	10	701,65	120	16,4	81,56
01/005	11	701,65	120	16,4	81,56
01/005	12	701,65	120	16,4	81,56
01/006	1	725,66	60	8,5	95,56
01/006	2	725,66	60	8,5	95,56
01/006	3	725,66	60	8,5	95,56
01/006	4	725,66	80	8,5	95,56
01/006	5	748,54	80	8,5	95,56
01/006	6	748,54	80	16,4	95,56
01/006	7	748,54	90	16,4	105,65
01/006	8	748,54	90	16,4	105,65
01/006	9	748,54	90	16,4	105,65
01/006	10	755,65	120	16,4	105,65
01/006	11	755,65	120	16,4	105,65
01/006	12	755,65	120	16,4	105,65
01/007	1	725,66	60	8,5	81,31
01/007	2	725,66	60	8,5	81,31
01/007	3	725,66	60	8,5	81,31
01/007	4	725,66	80	8,5	81,31
01/007	5	748,54	80	8,5	81,31
01/007	6	748,54	80	16,4	81,31
01/007	7	748,54	90	16,4	73,21
01/007	8	748,54	90	16,4	73,21
01/007	9	748,54	90	16,4	73,21
01/007	10	755,65	120	16,4	73,21
01/007	11	755,65	120	16,4	73,21
01/007	12	755,65	120	16,4	73,21
01/008	1	654,54	60	8,5	134,64
01/008	2	654,54	60	8,5	134,64
01/008	3	654,54	60	8,5	134,64
01/008	4	654,54	80	8,5	134,64
01/008	5	676,69	80	8,5	134,64
01/008	6	676,69	80	16,4	134,64
01/008	7	676,69	90	16,4	158,91
01/008	8	676,69	90	16,4	158,91
01/008	9	676,69	90	16,4	158,91
01/008	10	701,65	120	16,4	158,91
01/008	11	701,65	120	16,4	158,91
01/008	12	701,65	120	16,4	158,91
01/009	1	725,66	60	8,5	101,5
01/009	2	725,66	60	8,5	101,5
01/009	3	725,66	60	8,5	101,5
01/009	4	725,66	80	8,5	120,33
01/009	5	748,54	80	8,5	120,33
01/009	6	748,54	80	16,4	120,33
01/009	7	748,54	90	16,4	120,33
01/009	8	748,54	90	16,4	111,62
01/009	9	748,54	90	16,4	111,62
01/009	10	755,65	120	16,4	111,62
01/009	11	755,65	120	16,4	111,62
01/009	12	755,65	120	16,4	111,62
01/010	1	725,66	60	8,5	143,56
01/010	2	725,66	60	8,5	143,56
01/010	3	725,66	60	8,5	143,56
01/010	4	725,66	80	8,5	143,56
01/010	5	748,54	80	8,5	143,56
01/010	6	748,54	80	16,4	153,35
01/010	7	748,54	90	16,4	153,35
01/010	8	748,54	90	16,4	153,35
01/010	9	748,54	90	16,4	153,35
01/010	10	755,65	120	16,4	152,36
01/010	11	755,65	120	16,4	152,36
01/010	12	755,65	120	16,4	152,36
01/011	1	654,54	60	8,5	74,22
01/011	2	654,54	60	8,5	74,22
01/011	3	654,54	60	8,5	74,22
01/011	4	654,54	80	8,5	74,22
01/011	5	676,69	80	8,5	74,22
01/011	6	676,69	80	16,4	79,55
01/011	7	676,69	90	16,4	79,55
01/011	8	676,69	90	16,4	79,55
01/011	9	676,69	90	16,4	79,55
01/011	10	701,65	120	16,4	79,55
01/011	11	701,65	120	16,4	74,33
01/011	12	701,65	120	16,4	74,33
01/012	1	725,66	60	8,5	124,5
01/012	2	725,66	60	8,5	124,5
01/012	3	725,66	60	8,5	124,5
01/012	4	725,66	80	8,5	135,4
01/012	5	748,54	80	8,5	135,4
01/012	6	748,54	80	16,4	135,4
01/012	7	748,54	90	16,4	135,4
01/012	8	748,54	90	16,4	145,63
01/012	9	748,54	90	16,4	145,63
01/012	10	755,65	120	16,4	145,63
01/012	11	755,65	120	16,4	133,5
01/012	12	755,65	120	16,4	133,5
01/013	1	725,66	60	8,5	101,5
01/013	2	725,66	60	8,5	101,5
01/013	3	725,66	60	8,5	101,5
01/013	4	725,66	80	8,5	120,33
01/013	5	748,54	80	8,5	120,33
01/013	6	748,54	80	16,4	120,33
01/013	7	748,54	90	16,4	120,33
01/013	8	748,54	90	16,4	111,62
01/013	9	748,54	90	16,4	111,62
01/013	10	755,65	120	16,4	111,62
01/013	11	755,65	120	16,4	111,62
01/013	12	755,65	120	16,4	111,62
01/014	1	654,54	60	8,5	81,31
01/014	2	654,54	60	8,5	81,31
01/014	3	654,54	60	8,5	81,31
01/014	4	654,54	80	8,5	81,31
01/014	5	676,69	80	8,5	81,31
01/014	6	676,69	80	16,4	81,31
01/014	7	676,69	90	16,4	73,21
01/014	8	676,69	90	16,4	73,21
01/014	9	676,69	90	16,4	73,21
01/014	10	701,65	120	16,4	73,21
01/014	11	701,65	120	16,4	73,21
01/014	12	701,65	120	16,4	73,21
01/015	1	725,66	60	8,5	74,22
01/015	2	725,66	60	8,5	74,22
01/015	3	725,66	60	8,5	74,22
01/015	4	725,66	80	8,5	74,22
01/015	5	748,54	80	8,5	74,22
01/015	6	748,54	80	16,4	79,55
01/015	7	748,54	90	16,4	79,55
01/015	8	748,54	90	16,4	79,55
01/015	9	748,54	90	16,4	79,55
01/015	10	755,65	120	16,4	79,55
01/015	11	755,65	120	16,4	74,33
01/015	12	755,65	120	16,4	74,33
01/016	1	725,66	60	8,5	77,56
01/016	2	725,66	60	8,5	77,56
01/016	3	725,66	60	8,5	77,56
01/016	4	725,66	80	8,5	77,56
01/016	5	748,54	80	8,5	77,56
01/016	6	748,54	80	16,4	85,65
01/016	7	748,54	90	16,4	85,65
01/016	8	748,54	90	16,4	85,65
01/016	9	748,54	90	16,4	85,65
01/016	10	755,65	120	16,4	81,34
01/016	11	755,65	120	16,4	81,34
01/016	12	755,65	120	16,4	81,34
01/017	1	654,54	60	8,5	154,25
01/017	2	654,54	60	8,5	154,25
01/017	3	654,54	60	8,5	154,25
01/017	4	654,54	80	8,5	165,25
01/017	5	676,69	80	8,5	165,25
01/017	6	676,69	80	16,4	165,25
01/017	7	676,69	90	16,4	165,25
01/017	8	676,69	90	16,4	160,22
01/017	9	676,69	90	16,4	160,22
01/017	10	701,65	120	16,4	160,22
01/017	11	701,65	120	16,4	160,22
01/017	12	701,65	120	16,4	160,22
01/018	1	725,66	60	8,5	143,56
01/018	2	725,66	60	8,5	143,56
01/018	3	725,66	60	8,5	143,56
01/018	4	725,66	80	8,5	143,56
01/018	5	748,54	80	8,5	143,56
01/018	6	748,54	80	16,4	153,35
01/018	7	748,54	90	16,4	153,35
01/018	8	748,54	90	16,4	153,35
01/018	9	748,54	90	16,4	153,35
01/018	10	755,65	120	16,4	152,36
01/018	11	755,65	120	16,4	152,36
01/018	12	755,65	120	16,4	152,36
01/019	1	725,66	60	8,5	81,31
01/019	2	725,66	60	8,5	81,31
01/019	3	725,66	60	8,5	81,31
01/019	4	725,66	80	8,5	81,31
01/019	5	748,54	80	8,5	81,31
01/019	6	748,54	80	16,4	81,31
01/019	7	748,54	90	16,4	73,21
01/019	8	748,54	90	16,4	73,21
01/019	9	748,54	90	16,4	73,21
01/019	10	755,65	120	16,4	73,21
01/019	11	755,65	120	16,4	73,21
01/019	12	755,65	120	16,4	73,21
01/020	1	654,54	60	8,5	101,5
01/020	2	654,54	60	8,5	101,5
01/020	3	654,54	60	8,5	101,5
01/020	4	654,54	80	8,5	120,33
01/020	5	676,69	80	8,5	120,33
01/020	6	676,69	80	16,4	120,33
01/020	7	676,69	90	16,4	120,33
01/020	8	676,69	90	16,4	111,62
01/020	9	676,69	90	16,4	111,62
01/020	10	701,65	120	16,4	111,62
01/020	11	701,65	120	16,4	111,62
01/020	12	701,65	120	16,4	111,62
02/001	1	815,56	45	12,6	99,5
02/001	2	815,56	45	12,6	99,5
02/001	3	815,56	60	12,6	99,5
02/001	4	815,56	60	12,6	112,85
02/001	5	830,54	60	12,6	112,85
02/001	6	830,54	60	17,5	112,85
02/001	7	830,54	90	17,5	101,65
02/001	8	830,54	90	17,5	101,65
02/001	9	833,25	90	17,5	101,65
02/001	10	833,25	110	17,5	120,3
02/001	11	833,25	110	17,5	120,3
02/001	12	833,25	110	17,5	120,3
02/002	1	765,3	45	12,6	81,31
02/002	2	765,3	45	12,6	81,31
02/002	3	765,3	60	12,6	81,31
02/002	4	799,5	60	12,6	81,31
02/002	5	799,5	60	12,6	81,31
02/002	6	799,5	60	17,5	81,31
02/002	7	815,54	90	17,5	73,21
02/002	8	815,54	90	17,5	73,21
02/002	9	815,54	90	17,5	73,21
02/002	10	816,65	110	17,5	73,21
02/002	11	816,65	110	17,5	73,21
02/002	12	816,65	110	17,5	73,21
02/003	1	691,12	45	12,6	40,5
02/003	2	691,12	45	12,6	40,5
02/003	3	691,12	60	12,6	40,5
02/003	4	691,12	60	12,6	45,5
02/003	5	691,12	60	12,6	45,5
02/003	6	691,12	60	17,5	45,5
02/003	7	755,52	90	17,5	60,22
02/003	8	755,52	90	17,5	60,22
02/003	9	755,52	90	17,5	60,22
02/003	10	755,52	110	17,5	45,5
02/003	11	755,52	110	17,5	45,5
02/003	12	755,52	110	17,5	45,5
02/004	1	458,85	45	12,6	40,5
02/004	2	458,85	45	12,6	40,5
02/004	3	458,85	60	12,6	40,5
02/004	4	458,85	60	12,6	40,5
02/004	5	458,85	60	12,6	40,5
02/004	6	601,12	60	17,5	40,5
02/004	7	601,12	90	17,5	40,5
02/004	8	601,12	90	17,5	40,5
02/004	9	601,12	90	17,5	40,5
02/004	10	601,12	110	17,5	40,5
02/004	11	601,12	110	17,5	40,5
02/004	12	601,12	110	17,5	40,5
02/005	1	536,62	45	12,6	60,54
02/005	2	536,62	45	12,6	60,54
02/005	3	536,62	60	12,6	60,54
02/005	4	536,62	60	12,6	70,25
02/005	5	536,62	60	12,6	70,25
02/005	6	536,62	60	17,5	70,25
02/005	7	611,25	90	17,5	66,32
02/005	8	611,25	90	17,5	66,32
02/005	9	611,25	90	17,5	66,32
02/005	10	611,25	110	17,5	78,11
02/005	11	611,25	110	17,5	78,11
02/005	12	611,25	110	17,5	78,11
02/006	1	725,66	45	12,6	89,96
02/006	2	725,66	45	12,6	89,96
02/006	3	725,66	60	12,6	89,96
02/006	4	725,66	60	12,6	92,7
02/006	5	725,66	60	12,6	92,7
02/006	6	725,66	60	17,5	92,7
02/006	7	748,54	90	17,5	94,65
02/006	8	748,54	90	17,5	94,65
02/006	9	748,54	90	17,5	94,65
02/006	10	748,54	110	17,5	90,11
02/006	11	748,54	110	17,5	90,11
02/006	12	748,54	110	17,5	90,11
02/007	1	458,85	45	12,6	40,5
02/007	2	458,85	45	12,6	40,5
02/007	3	458,85	60	12,6	40,5
02/007	4	458,85	60	12,6	45,5
02/007	5	458,85	60	12,6	45,5
02/007	6	458,85	60	17,5	45,5
02/007	7	601,12	90	17,5	60,22
02/007	8	601,12	90	17,5	60,22
02/007	9	601,12	90	17,5	60,22
02/007	10	601,12	110	17,5	45,5
02/007	11	601,12	110	17,5	45,5
02/007	12	601,12	110	17,5	45,5
02/008	1	654,54	45	12,6	81,31
02/008	2	654,54	45	12,6	81,31
02/008	3	654,54	60	12,6	81,31
02/008	4	654,54	60	12,6	79,15
02/008	5	654,54	60	12,6	79,15
02/008	6	701,65	60	17,5	79,15
02/008	7	701,65	90	17,5	73,21
02/008	8	701,65	90	17,5	73,21
02/008	9	701,65	90	17,5	73,21
02/008	10	701,65	110	17,5	79,91
02/008	11	701,65	110	17,5	79,91
02/008	12	701,65	110	17,5	79,91
02/009	1	815,55	45	12,6	42,6
02/009	2	815,55	45	12,6	42,6
02/009	3	815,55	60	12,6	42,6
02/009	4	815,55	60	12,6	69,21
02/009	5	815,55	60	12,6	69,21
02/009	6	815,55	60	17,5	69,21
02/009	7	885,25	90	17,5	54,43
02/009	8	885,25	90	17,5	54,43
02/009	9	885,25	90	17,5	54,43
02/009	10	885,25	110	17,5	49,98
02/009	11	885,25	110	17,5	49,98
02/009	12	885,25	110	17,5	49,98
02/010	1	536,62	45	12,6	81,31
02/010	2	536,62	45	12,6	81,31
02/010	3	536,62	60	12,6	81,31
02/010	4	536,62	60	12,6	79,15
02/010	5	536,62	60	12,6	79,15
02/010	6	536,62	60	17,5	79,15
02/010	7	611,25	90	17,5	73,21
02/010	8	611,25	90	17,5	73,21
02/010	9	611,25	90	17,5	73,21
02/010	10	611,25	110	17,5	79,91
02/010	11	611,25	110	17,5	79,91
02/010	12	611,25	110	17,5	79,91
02/011	1	725,66	45	12,6	89,96
02/011	2	725,66	45	12,6	89,96
02/011	3	725,66	60	12,6	89,96
02/011	4	725,66	60	12,6	92,7
02/011	5	748,54	60	12,6	92,7
02/011	6	748,54	60	17,5	92,7
02/011	7	748,54	90	17,5	94,65
02/011	8	748,54	90	17,5	94,65
02/011	9	748,54	90	17,5	94,65
02/011	10	755,65	110	17,5	90,11
02/011	11	755,65	110	17,5	90,11
02/011	12	755,65	110	17,5	90,11
02/012	1	662,33	45	12,6	78,8
02/012	2	662,33	45	12,6	78,8
02/012	3	662,33	60	12,6	78,8
02/012	4	662,33	60	12,6	87,86
02/012	5	662,33	60	12,6	87,86
02/012	6	662,33	60	17,5	87,86
02/012	7	882,05	90	17,5	60,67
02/012	8	882,05	90	17,5	60,67
02/012	9	882,05	90	17,5	60,67
02/012	10	882,05	110	17,5	85,97
02/012	11	882,05	110	17,5	85,97
02/012	12	882,05	110	17,5	85,97
02/013	1	707,64	45	12,6	76,13
02/013	2	707,64	45	12,6	76,13
02/013	3	707,64	60	12,6	76,13
02/013	4	707,64	60	12,6	81,5
02/013	5	707,64	60	12,6	81,5
02/013	6	707,64	60	17,5	81,5
02/013	7	832,05	90	17,5	85,86
02/013	8	832,05	90	17,5	85,86
02/013	9	832,05	90	17,5	85,86
02/013	10	832,05	110	17,5	67,02
02/013	11	832,05	110	17,5	67,02
02/013	12	832,05	110	17,5	67,02
02/014	1	627,99	45	12,6	68,48
02/014	2	627,99	45	12,6	68,48
02/014	3	627,99	60	12,6	68,48
02/014	4	627,99	60	12,6	75,11
02/014	5	627,99	60	12,6	75,11
02/014	6	627,99	60	17,5	75,11
02/014	7	762,18	90	17,5	66,58
02/014	8	762,18	90	17,5	66,58
02/014	9	762,18	90	17,5	66,58
02/014	10	762,18	110	17,5	88,48
02/014	11	762,18	110	17,5	88,48
02/014	12	762,18	110	17,5	88,48
02/015	1	675,41	45	12,6	63,06
02/015	2	675,41	45	12,6	63,06
02/015	3	675,41	60	12,6	63,06
02/015	4	675,41	60	12,6	79,54
02/015	5	675,41	60	12,6	79,54
02/015	6	675,41	60	17,5	79,54
02/015	7	817,59	90	17,5	81,34
02/015	8	817,59	90	17,5	81,34
02/015	9	817,59	90	17,5	81,34
02/015	10	817,59	110	17,5	65,07
02/015	11	817,59	110	17,5	65,07
02/015	12	817,59	110	17,5	65,07
02/016	1	620,92	45	12,6	79,69
02/016	2	620,92	45	12,6	79,69
02/016	3	620,92	60	12,6	79,69
02/016	4	620,92	60	12,6	73,42
02/016	5	620,92	60	12,6	73,42
02/016	6	620,92	60	17,5	73,42
02/016	7	696,81	90	17,5	86,2
02/016	8	696,81	90	17,5	86,2
02/016	9	696,81	90	17,5	86,2
02/016	10	696,81	110	17,5	77,22
02/016	11	696,81	110	17,5	77,22
02/016	12	696,81	110	17,5	77,22
02/017	1	671,39	45	12,6	74,44
02/017	2	671,39	45	12,6	74,44
02/017	3	671,39	60	12,6	74,44
02/017	4	671,39	60	12,6	78,7
02/017	5	671,39	60	12,6	78,7
02/017	6	671,39	60	17,5	78,7
02/017	7	833,05	90	17,5	87,14
02/017	8	833,05	90	17,5	87,14
02/017	9	833,05	90	17,5	87,14
02/017	10	833,05	110	17,5	67,59
02/017	11	833,05	110	17,5	67,59
02/017	12	833,05	110	17,5	67,59
02/018	1	658,99	45	12,6	69,24
02/018	2	658,99	45	12,6	69,24
02/018	3	658,99	60	12,6	69,24
02/018	4	658,99	60	12,6	80,26
02/018	5	658,99	60	12,6	80,26
02/018	6	658,99	60	17,5	80,26
02/018	7	837,62	90	17,5	73,77
02/018	8	837,62	90	17,5	73,77
02/018	9	837,62	90	17,5	73,77
02/018	10	837,62	110	17,5	85,14
02/018	11	837,62	110	17,5	85,14
02/018	12	837,62	110	17,5	85,14
02/019	1	679,17	45	12,6	73,13
02/019	2	679,17	45	12,6	73,13
02/019	3	679,17	60	12,6	73,13
02/019	4	679,17	60	12,6	89,58
02/019	5	679,17	60	12,6	89,58
02/019	6	679,17	60	17,5	89,58
02/019	7	862,5	90	17,5	62,77
02/019	8	862,5	90	17,5	62,77
02/019	9	862,5	90	17,5	62,77
02/019	10	862,5	110	17,5	74,29
02/019	11	862,5	110	17,5	74,29
02/019	12	862,5	110	17,5	74,29
02/020	1	737,01	45	12,6	75,87
02/020	2	737,01	45	12,6	75,87
02/020	3	737,01	60	12,6	75,87
02/020	4	737,01	60	12,6	83,8
02/020	5	737,01	60	12,6	83,8
02/020	6	737,01	60	17,5	83,8
02/020	7	769,26	90	17,5	71,21
02/020	8	769,26	90	17,5	71,21
02/020	9	769,26	90	17,5	71,21
02/020	10	769,26	110	17,5	81,95
02/020	11	769,26	110	17,5	81,95
02/020	12	769,26	110	17,5	81,95
03/001	1	640,33	66	9,5	68,92
03/001	2	640,33	66	9,5	68,92
03/001	3	640,33	66	9,5	68,92
03/001	4	640,33	70	9,5	74,55
03/001	5	640,33	70	9,5	74,55
03/001	6	640,33	70	9,5	74,55
03/001	7	724,26	75	16,5	78,33
03/001	8	724,26	75	16,5	78,33
03/001	9	724,26	75	16,5	78,33
03/001	10	724,26	85	16,5	68,6
03/001	11	724,26	85	16,5	68,6
03/001	12	724,26	85	16,5	68,6
03/002	1	658,83	66	9,5	69,22
03/002	2	658,83	66	9,5	69,22
03/002	3	658,83	66	9,5	69,22
03/002	4	658,83	70	9,5	78,11
03/002	5	658,83	70	9,5	78,11
03/002	6	658,83	70	9,5	78,11
03/002	7	809,8	75	16,5	73,5
03/002	8	809,8	75	16,5	73,5
03/002	9	809,8	75	16,5	73,5
03/002	10	809,8	85	16,5	72,12
03/002	11	809,8	85	16,5	72,12
03/002	12	809,8	85	16,5	72,12
03/003	1	684,95	66	9,5	62,98
03/003	2	684,95	66	9,5	62,98
03/003	3	684,95	66	9,5	62,98
03/003	4	684,95	70	9,5	84,78
03/003	5	684,95	70	9,5	84,78
03/003	6	684,95	70	9,5	84,78
03/003	7	744,76	75	16,5	82,33
03/003	8	744,76	75	16,5	82,33
03/003	9	744,76	75	16,5	82,33
03/003	10	744,76	85	16,5	76,32
03/003	11	744,76	85	16,5	76,32
03/003	12	744,76	85	16,5	76,32
03/004	1	725,26	66	9,5	66,65
03/004	2	725,26	66	9,5	66,65
03/004	3	725,26	66	9,5	66,65
03/004	4	725,26	70	9,5	89,21
03/004	5	725,26	70	9,5	89,21
03/004	6	725,26	70	9,5	89,21
03/004	7	877,73	75	16,5	90
03/004	8	877,73	75	16,5	90
03/004	9	877,73	75	16,5	90
03/004	10	877,73	85	16,5	84,75
03/004	11	877,73	85	16,5	84,75
03/004	12	877,73	85	16,5	84,75
03/005	1	660,86	66	9,5	63,69
03/005	2	660,86	66	9,5	63,69
03/005	3	660,86	66	9,5	63,69
03/005	4	660,86	70	9,5	79,17
03/005	5	660,86	70	9,5	79,17
03/005	6	660,86	70	9,5	79,17
03/005	7	767,45	75	16,5	73,95
03/005	8	767,45	75	16,5	73,95
03/005	9	767,45	75	16,5	73,95
03/005	10	767,45	85	16,5	77,11
03/005	11	767,45	85	16,5	77,11
03/005	12	767,45	85	16,5	77,11
03/006	1	632,42	66	9,5	80,54
03/006	2	632,42	66	9,5	80,54
03/006	3	632,42	66	9,5	80,54
03/006	4	632,42	70	9,5	70,65
03/006	5	632,42	70	9,5	70,65
03/006	6	632,42	70	9,5	70,65
03/006	7	768,13	75	16,5	88,55
03/006	8	768,13	75	16,5	88,55
03/006	9	768,13	75	16,5	88,55
03/006	10	768,13	85	16,5	70,29
03/006	11	768,13	85	16,5	70,29
03/006	12	768,13	85	16,5	70,29
03/007	1	625,14	66	9,5	68,59
03/007	2	625,14	66	9,5	68,59
03/007	3	625,14	66	9,5	68,59
03/007	4	625,14	70	9,5	85,91
03/007	5	625,14	70	9,5	85,91
03/007	6	625,14	70	9,5	85,91
03/007	7	705,52	75	16,5	77,4
03/007	8	705,52	75	16,5	77,4
03/007	9	705,52	75	16,5	77,4
03/007	10	705,52	85	16,5	70,94
03/007	11	705,52	85	16,5	70,94
03/007	12	705,52	85	16,5	70,94
03/008	1	632,98	66	9,5	82,37
03/008	2	632,98	66	9,5	82,37
03/008	3	632,98	66	9,5	82,37
03/008	4	632,98	70	9,5	80,23
03/008	5	632,98	70	9,5	80,23
03/008	6	632,98	70	9,5	80,23
03/008	7	768,08	75	16,5	84,27
03/008	8	768,08	75	16,5	84,27
03/008	9	768,08	75	16,5	84,27
03/008	10	768,08	85	16,5	76,43
03/008	11	768,08	85	16,5	76,43
03/008	12	768,08	85	16,5	76,43
03/009	1	762,77	66	9,5	73,38
03/009	2	762,77	66	9,5	73,38
03/009	3	762,77	66	9,5	73,38
03/009	4	762,77	70	9,5	78,82
03/009	5	762,77	70	9,5	78,82
03/009	6	762,77	70	9,5	78,82
03/009	7	862,67	75	16,5	72,3
03/009	8	862,67	75	16,5	72,3
03/009	9	862,67	75	16,5	72,3
03/009	10	862,67	85	16,5	82,48
03/009	11	862,67	85	16,5	82,48
03/009	12	862,67	85	16,5	82,48
03/010	1	636,95	66	9,5	74,66
03/010	2	636,95	66	9,5	74,66
03/010	3	636,95	66	9,5	74,66
03/010	4	636,95	70	9,5	87,56
03/010	5	636,95	70	9,5	87,56
03/010	6	636,95	70	9,5	87,56
03/010	7	855,17	75	16,5	65,05
03/010	8	855,17	75	16,5	65,05
03/010	9	855,17	75	16,5	65,05
03/010	10	855,17	85	16,5	72,61
03/010	11	855,17	85	16,5	72,61
03/010	12	855,17	85	16,5	72,61
03/011	1	623,34	66	9,5	83,79
03/011	2	623,34	66	9,5	83,79
03/011	3	623,34	66	9,5	83,79
03/011	4	623,34	70	9,5	77,09
03/011	5	623,34	70	9,5	77,09
03/011	6	623,34	70	9,5	77,09
03/011	7	803,87	75	16,5	84,47
03/011	8	803,87	75	16,5	84,47
03/011	9	803,87	75	16,5	84,47
03/011	10	803,87	85	16,5	87,51
03/011	11	803,87	85	16,5	87,51
03/011	12	803,87	85	16,5	87,51
03/012	1	675,24	66	9,5	72,68
03/012	2	675,24	66	9,5	72,68
03/012	3	675,24	66	9,5	72,68
03/012	4	675,24	70	9,5	65,77
03/012	5	675,24	70	9,5	65,77
03/012	6	675,24	70	9,5	65,77
03/012	7	709,36	75	16,5	81,25
03/012	8	709,36	75	16,5	81,25
03/012	9	709,36	75	16,5	81,25
03/012	10	709,36	85	16,5	70,23
03/012	11	709,36	85	16,5	70,23
03/012	12	709,36	85	16,5	70,23
03/013	1	745,36	66	9,5	67,27
03/013	2	745,36	66	9,5	67,27
03/013	3	745,36	66	9,5	67,27
03/013	4	745,36	70	9,5	66,77
03/013	5	745,36	70	9,5	66,77
03/013	6	745,36	70	9,5	66,77
03/013	7	786,54	75	16,5	83,36
03/013	8	786,54	75	16,5	83,36
03/013	9	786,54	75	16,5	83,36
03/013	10	786,54	85	16,5	75,16
03/013	11	786,54	85	16,5	75,16
03/013	12	786,54	85	16,5	75,16
03/014	1	705,55	66	9,5	86,52
03/014	2	705,55	66	9,5	86,52
03/014	3	705,55	66	9,5	86,52
03/014	4	705,55	70	9,5	66,79
03/014	5	705,55	70	9,5	66,79
03/014	6	705,55	70	9,5	66,79
03/014	7	828,82	75	16,5	68,69
03/014	8	828,82	75	16,5	68,69
03/014	9	828,82	75	16,5	68,69
03/014	10	828,82	85	16,5	70,39
03/014	11	828,82	85	16,5	70,39
03/014	12	828,82	85	16,5	70,39
03/015	1	603,3	66	9,5	71,08
03/015	2	603,3	66	9,5	71,08
03/015	3	603,3	66	9,5	71,08
03/015	4	603,3	70	9,5	89,45
03/015	5	603,3	70	9,5	89,45
03/015	6	603,3	70	9,5	89,45
03/015	7	778,96	75	16,5	65,39
03/015	8	778,96	75	16,5	65,39
03/015	9	778,96	75	16,5	65,39
03/015	10	778,96	85	16,5	70,69
03/015	11	778,96	85	16,5	70,69
03/015	12	778,96	85	16,5	70,69
04/001	1	666,62	70	8,5	75,67
04/001	2	666,62	70	8,5	75,67
04/001	3	666,62	70	8,5	75,67
04/001	4	666,62	74	8,5	65,88
04/001	5	666,62	74	8,5	65,88
04/001	6	666,62	74	8,5	65,88
04/001	7	767,68	78	16,5	73,56
04/001	8	767,68	78	16,5	73,56
04/001	9	767,68	78	16,5	73,56
04/001	10	767,68	82	16,5	76,83
04/001	11	767,68	82	16,5	76,83
04/001	12	767,68	82	16,5	76,83
04/002	1	729,94	70	8,5	77,54
04/002	2	729,94	70	8,5	77,54
04/002	3	729,94	70	8,5	77,54
04/002	4	729,94	74	8,5	87,63
04/002	5	729,94	74	8,5	87,63
04/002	6	729,94	74	8,5	87,63
04/002	7	778,45	78	16,5	66,79
04/002	8	778,45	78	16,5	66,79
04/002	9	778,45	78	16,5	66,79
04/002	10	778,45	82	16,5	88,05
04/002	11	778,45	82	16,5	88,05
04/002	12	778,45	82	16,5	88,05
04/003	1	702,1	70	8,5	65,98
04/003	2	702,1	70	8,5	65,98
04/003	3	702,1	70	8,5	65,98
04/003	4	702,1	74	8,5	75,84
04/003	5	702,1	74	8,5	75,84
04/003	6	702,1	74	8,5	75,84
04/003	7	780,78	78	16,5	79,39
04/003	8	780,78	78	16,5	79,39
04/003	9	780,78	78	16,5	79,39
04/003	10	780,78	82	16,5	68,17
04/003	11	780,78	82	16,5	68,17
04/003	12	780,78	82	16,5	68,17
04/004	1	684,96	70	8,5	65,62
