lp;czas;nr rej
206;02:32:32;BB7260
207;02:33:17;AC4810
208;02:34:08;CA2420
209;02:35:08;AA6815
210;02:35:47;AA9032
211;02:36:08;CA2615
212;02:36:10;AA3210
213;02:36:47;CC6998
214;02:37:44;AB3518
215;02:38:05;CB4527
216;02:38:14;AB9035
217;02:38:39;AA9937
218;02:38:55;BC6512
219;02:39:10;AC7808
220;02:39:45;AA1310
221;02:40:40;AB7051
222;02:41:13;CB4811
223;02:41:19;CB9464
224;02:41:40;BC5228
225;02:42:30;BB7063
226;02:43:22;CA7657
227;02:43:46;CA8789
228;02:44:01;CA8204
229;02:44:20;BA6204
230;02:45:10;AA2218
231;02:45:46;AC7939
232;02:45:50;BB9398
233;02:46:13;AC8474
234;02:46:25;AC7247
235;02:46:28;CC7959
236;02:47:04;CB3157
237;02:47:47;BC4128
238;02:48:12;AC7981
239;02:49:11;CA3646
240;02:49:20;BA7375
241;02:49:44;AC5506
242;02:49:46;BB3284
243;02:49:54;AC1102
244;02:50:14;BA2236
245;02:50:29;AC2179
246;02:50:32;CA1445
247;02:50:58;AB4214
248;02:51:44;AA2349
249;02:51:47;AB9259
250;02:52:30;CA8236
251;02:53:14;AB5925
252;02:53:38;BB5587
253;02:53:58;CB7652
254;02:54:00;AB5125
255;02:54:28;AB9743
256;02:55:17;AB5923
257;02:56:02;AA7526
258;02:56:44;BC1941
259;02:56:49;AB7180
260;02:56:50;AB9804
261;02:57:10;BC8162
262;02:57:31;BB7504
263;02:58:28;BA3072
264;02:58:29;BA6118
265;02:58:36;CB8622
266;02:58:42;BB3689
267;02:59:42;BB3381
268;03:00:28;BB9647
269;03:01:15;BB3689
270;03:01:36;AC9388
271;03:02:15;BA8180
272;03:03:12;CA8434
273;03:03:26;CB6542
274;03:04:05;BB7851
275;03:04:32;BA7810
276;03:05:10;CA8204
277;03:05:18;AC6967
278;03:05:57;BA8796
279;03:06:32;AC7939
280;03:07:03;BB6334
281;03:07:30;AC7247
282;03:07:39;CB4766
283;03:08:00;AC7981
284;03:09:00;BC2481
285;03:09:27;AC5506
286;03:09:29;AA6482
287;03:09:35;AC6266
288;03:10:26;AC8842
289;03:10:58;BA1355
290;03:11:25;BC8226
291;03:12:14;CC9580
292;03:12:34;CA6564
293;03:13:26;AA3504
294;03:13:28;BA1010
295;03:13:33;AB8368
296;03:13:52;AA6757
297;03:14:32;BB8028
298;03:15:31;CA9776
299;03:15:52;AA9262
300;03:15:55;CB6883
301;03:16:00;CA3856
302;03:16:53;CB1138
303;03:17:43;CB4415
304;03:18:19;BC1771
305;03:18:29;AB6367
306;03:18:34;CB9669
307;03:18:38;BA8969
308;03:19:22;AB1099
309;03:19:43;BC4330
310;03:19:44;CB2732
311;03:19:46;AA4966
312;03:20:23;CA9451
313;03:20:38;AA2734
314;03:21:19;CA7548
315;03:22:15;CA9416
316;03:22:54;CC6285
317;03:23:21;AB8425
318;03:23:32;CC8039
319;03:23:51;CC5541
320;03:24:19;CA2330
321;03:25:00;BC8141
322;03:25:22;BA6306
323;03:25:48;AB3102
324;03:26:25;BA2449
325;03:27:05;CC2685
326;03:27:59;AB5929
327;03:28:18;BC4399
328;03:29:18;AA6576
329;03:30:11;CB5417
330;03:30:47;AB6063
331;03:31:03;BC1475
332;03:31:24;CB7986
333;03:32:03;CC6506
334;03:32:17;AA5404
335;03:33:03;CB8326
336;03:33:27;CA5197
337;03:33:33;BA5239
338;03:33:57;BB6611
339;03:34:10;AA7206
340;03:35:04;AA8145
341;03:35:29;CC6210
342;03:35:44;CC6192
343;03:36:27;CB8876
344;03:37:23;CA6086
345;03:38:11;BA1657
346;03:38:15;CA8816
347;03:39:08;AA5137
348;03:39:58;BB9572
349;03:40:58;BA1112
350;03:41:27;BA6018
351;03:41:56;CA8204
352;03:42:47;CC2494
353;03:43:46;AA8073
354;03:44:31;AB8370
355;03:45:31;AC7939
356;03:45:32;CC1502
357;03:46:19;BB6399
358;03:46:22;AC7247
359;03:46:39;CC2574
360;03:46:56;AB1778
361;03:46:58;BB8062
362;03:47:09;AC7981
363;03:47:48;CA8909
364;03:48:37;AC5506
365;03:49:33;AA1659
366;03:49:58;AC8741
367;03:50:32;BB4555
368;03:51:14;BA8422
369;03:51:52;BC2713
370;03:51:59;CA4856
371;03:52:46;AA5475
372;03:53:37;BA6896
373;03:53:52;CA2626
374;03:53:53;BA5786
375;03:54:13;BA1895
376;03:55:03;AA3604
377;03:55:12;AA8150
378;03:55:33;CC9366
379;03:56:09;AA4068
380;03:56:42;CA3823
381;03:57:41;AB3590
382;03:57:43;BB6384
383;03:58:20;BA9401
384;03:58:36;CB6517
385;03:59:01;BB3689
386;03:59:52;BC4862
387;04:00:25;BA7769
388;04:00:49;BB3689
389;04:01:31;AA6011
390;04:01:42;CB6381
391;04:02:12;CA8204
392;04:02:14;AB2934
393;04:02:56;AB8819
394;04:03:17;AC9623
395;04:04:07;BA3641
396;04:04:40;BA1842
397;04:05:07;AC7939
398;04:05:18;AB9550
399;04:05:42;AC7247
400;04:05:50;AB1462
401;04:06:42;AC7981
402;04:07:11;CB3324
403;04:07:23;AC5506
404;04:08:18;BA1955
405;04:09:02;AC1246
406;04:09:44;AA4852
407;04:10:10;AB4815
408;04:10:46;BB3741
409;04:11:34;CA6225
410;04:11:56;BC6199
411;04:12:17;CA5215
412;04:12:23;CA1103
413;04:13:09;BC8889
414;04:13:16;AA4575
415;04:14:01;AA2776
416;04:14:56;AC4851
417;04:15:08;BC2711
418;04:15:50;BC4644
419;04:16:06;BA6909
420;04:16:08;BA7937
421;04:16:39;AA7497
422;04:17:21;AC3318
423;04:18:07;BA5651
424;04:18:21;BA4857
425;04:18:26;CB1428
426;04:18:41;AB5372
427;04:18:49;CB4325
428;04:18:59;AB3894
429;04:19:46;BB4301
430;04:20:40;CA5077
431;04:20:57;BC2259
432;04:21:49;CA4553
433;04:21:57;CC8544
434;04:22:16;AC6554
435;04:22:52;BC3252
436;04:23:29;BB3446
437;04:23:41;BB5870
438;04:23:44;BB3863
439;04:24:35;AC7535
440;04:24:48;AB4429
441;04:25:09;BA7718
442;04:26:09;AB4566
443;04:26:15;CA2828
444;04:26:16;CA3390
445;04:27:06;CB2418
446;04:27:52;CB8237
447;04:28:34;AA9212
448;04:29:21;AC7843
449;04:30:20;AA5344
450;04:30:57;CB6246
451;04:31:14;BA5366
452;04:31:59;CC5826
453;04:32:37;BA9989
454;04:33:36;BA3409
455;04:34:08;BA6876
456;04:34:35;CB3127
457;04:35:09;CB6885
458;04:35:33;CC2498
459;04:36:05;CC4275
460;04:36:26;CC2987
461;04:36:53;AB7161
462;04:37:46;AC3889
463;04:38:27;AC9932
464;04:39:06;CC8875
465;04:39:50;BB9913
466;04:40:06;AA1251
467;04:40:40;CC7154
468;04:40:42;CA8204
469;04:41:36;BA6792
470;04:42:13;AC7939
471;04:42:52;AA4205
472;04:43:45;AC7247
473;04:44:34;AC2533
474;04:44:59;AC3094
475;04:45:18;AC7981
476;04:45:44;CC5595
477;04:46:13;BC6996
478;04:47:00;AC5506
479;04:47:52;CA6373
480;04:48:48;CB5956
481;04:49:39;AB7564
482;04:50:08;BC9989
483;04:50:36;AB6390
484;04:51:13;BB9648
485;04:51:26;BB8890
486;04:52:25;CB3968
487;04:53:08;BB1976
488;04:53:09;AA9834
489;04:53:15;BA5997
490;04:53:19;AA5148
491;04:54:02;BA3338
492;04:54:57;AB2828
493;04:55:54;AC3314
494;04:55:59;BA9326
495;04:56:05;BB4132
496;04:56:36;BC5109
497;04:57:31;AA6754
498;04:57:47;AC5103
499;04:58:08;BA4709
500;04:58:29;BB3689
501;04:59:07;CC8856
502;04:59:25;AC5367
503;05:00:42;BA3305
504;05:00:51;BB3689
505;05:00:57;AA1589
506;05:01:49;AA7839
507;05:02:42;AA1488
508;05:02:52;BC3802
509;05:03:12;CA8204
510;05:03:26;AC9945
511;05:03:40;AB8666
512;05:03:41;AC7114
513;05:03:50;AC7939
514;05:03:59;CA6975
515;05:04:10;AC7247
516;05:04:20;AC2223
517;05:04:45;AC9763
518;05:04:47;AC7981
519;05:05:07;CA8958
520;05:05:12;AC5506
521;05:05:22;AC1310
522;05:05:23;BB4313
523;05:05:42;CC5184
524;05:05:47;AA2657
525;05:05:57;CC9807
526;05:06:06;CC6519
527;05:06:25;BB2791
528;05:06:32;AC2950
529;05:06:42;BA7050
530;05:06:57;AC7594
531;05:07:06;AA9100
532;05:07:17;BC8877
533;05:07:30;AB8692
534;05:07:36;CA2840
535;05:07:52;AB4091
536;05:07:58;AA9091
537;05:08:07;CA3180
538;05:08:12;CA3001
539;05:08:37;BC1165
540;05:08:43;BC9215
541;05:09:03;CB5240
542;05:09:16;CC3069
543;05:09:28;CA6506
544;05:09:39;BC8451
545;05:09:53;BB7480
546;05:10:02;CC7222
547;05:10:20;CB1354
548;05:10:34;CB8064
549;05:10:50;BC3118
550;05:10:56;AB9824
551;05:11:15;AB2465
552;05:11:25;CB6811
553;05:11:34;AA1297
554;05:11:56;AB2564
555;05:11:57;CB1726
556;05:12:02;AA9467
557;05:12:18;AA5116
558;05:12:27;BA4597
559;05:12:41;CC3540
560;05:12:51;AA8291
561;05:13:02;AC5418
562;05:13:05;BC4618
563;05:13:16;CA8452
564;05:13:28;AC7718
565;05:13:29;AA4026
566;05:13:43;CB5035
567;05:13:44;AB6293
568;05:13:54;CC1176
569;05:14:10;CA4398
570;05:14:12;BB7519
571;05:14:19;BA7130
572;05:14:25;CB4392
573;05:14:38;CC1769
574;05:14:43;CB9716
575;05:14:58;AA6019
576;05:15:13;AB9083
577;05:15:30;CA6415
578;05:15:38;CA8871
579;05:15:43;BA9353
580;05:15:54;BA6063
581;05:16:08;CB3830
582;05:16:25;BB4732
583;05:16:29;CA1646
584;05:16:43;BB5436
585;05:17:01;AA3815
586;05:17:13;CC7467
587;05:17:25;CC2805
588;05:17:42;BA1992
589;05:17:54;AB5403
590;05:18:07;BA8101
591;05:18:22;BA5791
592;05:18:34;CC9414
593;05:18:49;BC1344
594;05:18:57;BC7960
595;05:19:20;CA5663
596;05:19:27;CC6390
597;05:19:48;BB2235
598;05:19:51;BC7452
599;05:20:05;AC9171
600;05:20:06;CC9354
601;05:20:14;AC5015
602;05:20:30;BB4332
603;05:20:31;CB8946
604;05:20:52;AC3109
605;05:20:59;CB8153
606;05:21:09;AB9712
607;05:21:13;CB6769
608;05:21:26;CC1491
609;05:21:42;BB7478
610;05:21:56;AB8054
611;05:22:18;AC7025
612;05:22:30;BC5420
613;05:22:50;CB5485
614;05:23:04;CB7243
615;05:23:05;CC3459
616;05:23:24;BC9238
617;05:23:28;BA5553
618;05:23:43;AB8784
619;05:23:59;AC5031
620;05:24:18;BC2854
621;05:24:24;CB9770
622;05:24:25;AB5399
623;05:24:52;AB2957
624;05:25:05;CC2371
625;05:25:13;AB8850
626;05:25:41;CC8163
627;05:25:45;CC4777
628;05:25:48;AA2751
629;05:25:55;BC2044
630;05:26:07;AA9907
631;05:26:27;AA6110
632;05:26:44;CC1544
633;05:26:57;CC1573
634;05:27:16;CA8770
635;05:27:35;CC8000
636;05:27:41;AA8571
637;05:27:46;BC8377
638;05:27:47;BA7914
639;05:27:50;CC3920
640;05:28:03;AC6320
641;05:28:18;CB8554
642;05:28:25;CA3520
643;05:28:33;AA3751
644;05:28:48;BB9322
645;05:28:54;AC7333
646;05:29:06;BB5682
647;05:29:13;BC6870
648;05:29:20;CC9419
649;05:29:36;BB2410
650;05:29:42;CB4817
651;05:29:55;AA6900
652;05:30:09;BC3688
653;05:30:21;AA4672
654;05:30:36;BA2444
655;05:30:51;BB1125
656;05:30:58;AC7885
657;05:31:04;AB1805
658;05:31:12;CC2626
659;05:31:34;BB1290
660;05:31:48;AC8141
661;05:31:52;AA5740
662;05:32:03;CB8790
663;05:32:14;BC6083
664;05:32:29;AC6151
665;05:32:48;CC3275
666;05:32:49;AC2547
667;05:32:52;CA3456
668;05:33:22;AA5879
669;05:33:35;CA3236
670;05:33:47;AB3950
671;05:33:52;AB3189
672;05:33:54;BA8227
673;05:34:12;CA9723
674;05:34:26;BA1641
675;05:34:33;BC2158
676;05:34:44;BB3037
677;05:34:59;BA5476
678;05:35:00;BC9951
679;05:35:05;CB3114
680;05:35:23;CC1523
681;05:35:40;BC9822
682;05:35:42;BC3594
683;05:35:48;AA3770
684;05:36:00;AA4703
685;05:36:20;CC6383
686;05:36:27;AB2141
687;05:36:40;AB3251
688;05:36:59;CB7964
689;05:37:07;AB4699
690;05:37:08;BC7827
691;05:37:18;AA4630
692;05:37:19;AB1807
693;05:37:36;CA8531
694;05:37:49;BA2799
695;05:37:57;CB5822
696;05:38:16;BC7091
697;05:38:23;AA5219
698;05:38:46;BA8896
699;05:38:51;AB6332
700;05:39:06;BA6594
701;05:39:10;AA1094
702;05:39:21;CB6508
703;05:39:34;CA3318
704;05:39:43;BC3323
705;05:40:07;BB4464
706;05:40:16;BA7969
707;05:40:24;AB8832
708;05:40:34;CA7220
709;05:40:52;BA8825
710;05:40:59;CA5849
711;05:41:08;AB3724
712;05:41:15;AA3588
713;05:41:31;AA5606
714;05:41:43;AC7646
715;05:41:56;CA6840
716;05:42:04;BB7274
717;05:42:08;BB6282
718;05:42:26;CA3795
719;05:42:40;CB7597
720;05:42:53;CC1414
721;05:43:03;CB4896
722;05:43:04;CC8450
723;05:43:09;AA2875
724;05:43:23;CC6315
725;05:43:30;AA1202
726;05:43:34;AC7898
727;05:43:46;BB3786
728;05:44:01;AA6127
729;05:44:02;CB5549
730;05:44:16;BA2259
731;05:44:20;AB3148
732;05:44:34;AA8423
733;05:44:56;AC9290
734;05:45:01;CB7993
735;05:45:12;AC7363
736;05:45:20;AB1185
737;05:45:29;BB4693
738;05:45:41;AC9129
739;05:45:46;CC3720
740;05:45:53;BC2691
741;05:46:20;CB6276
742;05:46:33;BA9902
743;05:46:46;BB2143
744;05:47:04;CC8331
745;05:47:06;BB6180
746;05:47:15;AC7867
747;05:47:21;AA6971
748;05:47:30;CC8017
749;05:47:36;AB1296
750;05:47:42;BA9351
751;05:47:54;AB7456
752;05:48:09;BB9156
753;05:48:12;BC6913
754;05:48:16;CB4676
755;05:48:35;BC6267
756;05:48:49;AA9061
757;05:48:54;CA8352
758;05:48:58;CA7794
759;05:48:59;AA7571
760;05:49:14;CC8498
761;05:49:21;AC2399
762;05:49:34;AA8271
763;05:49:44;CB3000
764;05:49:49;AA2762
765;05:50:11;BB9835
766;05:50:24;AB4131
767;05:50:28;CA5441
768;05:50:34;BC7145
769;05:50:44;CA8204
770;05:51:03;AC9027
771;05:51:08;AB1502
772;05:51:11;CB5710
773;05:51:13;AC7939
774;05:51:32;AB2001
775;05:51:40;AC7247
776;05:51:54;AA2613
777;05:52:04;AC7981
778;05:52:07;BC4493
779;05:52:10;AC5506
780;05:52:22;CC7114
781;05:52:31;AA9120
782;05:52:44;CA8804
783;05:52:46;CB4992
784;05:52:53;AA5284
785;05:53:08;CA3123
786;05:53:17;CB4951
787;05:53:25;CC6122
788;05:53:35;BC3919
789;05:53:43;CC9497
790;05:53:55;AB7335
791;05:54:06;AB7680
792;05:54:21;BB8379
793;05:54:27;AC6986
794;05:54:35;CB4952
795;05:54:43;AA7037
796;05:54:46;BA2584
797;05:54:59;BC6560
798;05:55:08;AA7872
799;05:55:12;CA5191
800;05:55:23;CC1009
801;05:55:44;AC6874
802;05:55:52;BC7475
803;05:56:03;BB7991
804;05:56:12;BB2352
805;05:56:29;AB9891
806;05:56:37;CA1729
807;05:56:56;CC7505
808;05:56:58;BA4686
809;05:57:12;AA6253
810;05:57:22;AA1965
811;05:57:37;BB9362
812;05:57:38;CC5214
813;05:57:56;BB4307
814;05:58:11;AB2659
815;05:58:30;BC2920
816;05:58:35;CA3362
817;05:58:43;CC8349
818;05:58:50;BC7729
819;05:59:05;AC7233
820;05:59:19;BB3689
821;05:59:31;AA5888
822;05:59:45;CA9238
823;05:59:56;BC5728
824;06:00:07;AA3010
825;06:00:17;BB3689
826;06:00:26;CC7913
827;06:00:34;AC1499
828;06:00:39;BA1073
829;06:00:40;AA4195
830;06:00:49;CA4743
831;06:00:59;BB7252
832;06:01:02;CA8204
833;06:01:05;AC7939
834;06:01:19;AB1955
835;06:01:30;AC3392
836;06:01:44;AC7247
837;06:01:46;AC7071
838;06:01:59;AC7981
839;06:02:06;BA2956
840;06:02:08;AC5506
841;06:02:14;CC7065
842;06:02:25;BB2652
843;06:02:26;BA2030
844;06:02:32;AA6737
845;06:02:42;CC7805
846;06:02:45;BB6063
847;06:02:51;AC3608
848;06:03:05;AA1187
849;06:03:15;CA8099
850;06:03:29;BB5690
851;06:03:44;CB5362
852;06:03:45;CC5070
853;06:03:55;BB6362
854;06:04:07;AC9325
855;06:04:12;CB7888
856;06:04:13;CA1309
857;06:04:27;AA6705
858;06:04:38;BA1292
859;06:04:48;CC2096
860;06:05:03;CA6351
861;06:05:08;AC6338
862;06:05:18;CA2122
863;06:05:33;CC5109
864;06:05:37;AB7271
865;06:05:38;AB9452
866;06:05:40;AC1535
867;06:05:54;AC1304
868;06:06:07;BB7662
869;06:06:17;BB1668
870;06:06:23;CC1280
871;06:06:33;AB5839
872;06:06:47;AA8713
873;06:07:00;AC7242
874;06:07:15;CC1766
875;06:07:24;BA1853
876;06:07:33;CA6925
877;06:07:48;BC8294
878;06:07:49;AC9249
879;06:07:53;AB3846
880;06:08:07;CB1481
881;06:08:08;BA7700
882;06:08:12;CA4506
883;06:08:13;BA9905
884;06:08:23;BC3531
885;06:08:36;CA8399
886;06:08:47;AA2098
887;06:08:54;BC7127
888;06:09:05;CB6851
889;06:09:20;AB2324
890;06:09:34;AC4287
891;06:09:46;AB3541
892;06:09:56;AC5992
893;06:09:58;AA5283
894;06:10:13;BC9575
895;06:10:20;BC9498
896;06:10:24;BC8519
897;06:10:25;CA8029
898;06:10:26;BB8839
899;06:10:41;AA1774
900;06:10:53;BC1863
901;06:10:59;AC7810
902;06:11:00;AC9393
903;06:11:02;AC4201
904;06:11:03;BB1975
905;06:11:18;CB1108
906;06:11:19;CC5366
907;06:11:33;CC9901
908;06:11:41;CA5817
909;06:11:56;CA6864
910;06:11:59;AC7830
911;06:12:08;BB1293
912;06:12:09;AA2302
913;06:12:24;AC5008
914;06:12:26;CC6084
915;06:12:28;BC8225
916;06:12:39;BB8717
917;06:12:45;AC4362
918;06:12:54;BC8366
919;06:13:03;CB5138
920;06:13:14;BB5237
921;06:13:26;BC1663
922;06:13:34;AA8935
923;06:13:40;BC8599
924;06:13:49;AB4068
925;06:14:00;CA9509
926;06:14:04;AC1837
927;06:14:15;AA7606
928;06:14:30;CA8408
929;06:14:39;AA9782
930;06:14:45;AC2920
931;06:14:57;CA4012
932;06:15:12;AC1843
933;06:15:24;CA8973
934;06:15:32;BB7221
935;06:15:45;BB7843
936;06:15:48;CA1943
937;06:16:01;CC9014
938;06:16:10;AB9330
939;06:16:13;BA4523
940;06:16:15;AA6396
941;06:16:21;BC9892
942;06:16:27;BC6385
943;06:16:29;BB1871
944;06:16:41;AB6669
945;06:16:49;AB4636
946;06:17:00;CB9170
947;06:17:08;CA5103
948;06:17:22;AA8528
949;06:17:26;AA9684
950;06:17:37;BA2896
951;06:17:45;CA2764
952;06:17:58;BA5465
953;06:18:11;CA7904
954;06:18:16;CB4486
955;06:18:31;BC8468
956;06:18:44;AB5673
957;06:18:48;BC7429
958;06:18:52;CC4608
959;06:19:03;BB6881
960;06:19:15;BB3823
961;06:19:21;AB9958
962;06:19:24;BB4768
963;06:19:36;BA7722
964;06:19:42;AB7298
965;06:19:56;AA8241
966;06:19:58;AC4010
967;06:20:06;AC2226
968;06:20:17;CA8712
969;06:20:26;BC5020
970;06:20:37;BB8334
971;06:20:41;CB4672
972;06:20:56;AA8267
973;06:21:02;CB6647
974;06:21:14;BC1871
975;06:21:21;CA9747
976;06:21:26;BA6205
977;06:21:40;CB4580
978;06:21:51;AA5466
979;06:22:01;CA4568
980;06:22:07;BA3544
981;06:22:08;CB5952
982;06:22:19;BB1766
983;06:22:27;AC6055
984;06:22:30;BB8714
985;06:22:32;BA8291
986;06:22:35;CA9946
987;06:22:36;CA8946
988;06:22:45;CA6012
989;06:22:59;CC8415
990;06:23:02;BC3522
991;06:23:16;AB9675
992;06:23:17;BC8760
993;06:23:28;AB9618
994;06:23:41;BA1103
995;06:23:49;BA4113
996;06:24:04;CC8613
997;06:24:18;AB6174
998;06:24:19;AB2451
999;06:24:29;AC6272
1000;06:24:32;AC7678
1001;06:24:44;AC7745
1002;06:24:52;CA5133
1003;06:24:53;BB3877
1004;06:25:03;CC6875
1005;06:25:10;BB3745
1006;06:25:16;CC8902
1007;06:25:17;CC2582
1008;06:25:20;BC1695
1009;06:25:26;AC5648
1010;06:25:38;CB1172
1011;06:25:39;AB8112
1012;06:25:52;CC2777
1013;06:25:57;AC3356
1014;06:26:01;AC1586
1015;06:26:12;BA7584
1016;06:26:21;CB5206
1017;06:26:29;AC4984
1018;06:26:31;AC9801
1019;06:26:32;CA2772
1020;06:26:34;BB7157
1021;06:26:44;CB1454
1022;06:26:52;BB2141
1023;06:26:59;CA3801
1024;06:27:04;CA7340
1025;06:27:19;BA3232
1026;06:27:31;AB1212
1027;06:27:37;CB4903
1028;06:27:46;BA4361
1029;06:27:51;BB4091
1030;06:28:03;CA6738
1031;06:28:18;AC7532
1032;06:28:20;BB2562
1033;06:28:24;AA5973
1034;06:28:32;AC3585
1035;06:28:41;BC6681
1036;06:28:44;CA4015
1037;06:28:52;AC8835
1038;06:28:58;AB1085
1039;06:29:12;CC4525
1040;06:29:19;CB6153
1041;06:29:22;BC9084
1042;06:29:24;CC1270
1043;06:29:27;BC1561
1044;06:29:36;CB3053
1045;06:29:46;BA3826
1046;06:29:56;BC9473
1047;06:30:06;AB3291
1048;06:30:16;CC2988
1049;06:30:24;CA5194
1050;06:30:28;AA8437
1051;06:30:43;AA7567
1052;06:30:53;AC2991
1053;06:31:07;CA8204
1054;06:31:11;BA2514
1055;06:31:26;AC7939
1056;06:31:40;AB3326
1057;06:31:54;AC3723
1058;06:32:03;AB5447
1059;06:32:06;AC7247
1060;06:32:18;BB6562
1061;06:32:29;CB4169
1062;06:32:43;AC7981
1063;06:32:58;AC9471
1064;06:33:05;CA9326
1065;06:33:08;AC5506
1066;06:33:20;BB5694
1067;06:33:26;AA3909
1068;06:33:31;BA1966
1069;06:33:38;CB7458
