ID_serwisu	ID_samolotu	Data_serwisu	ID_naprawy
74	6	09.03.2013	s22
75	35	07.04.2013	s26
76	9	18.04.2013	s3
77	4	02.05.2013	s3
78	41	06.05.2013	s3
79	7	08.05.2013	s32
80	3	23.06.2013	s1
81	36	08.07.2013	s17
82	25	12.08.2013	s26
83	22	11.09.2013	s26
84	1	23.09.2013	s14
85	26	26.09.2013	s19
86	24	28.09.2013	s12
87	6	11.10.2013	s24
88	20	28.10.2013	s19
89	23	01.11.2013	s13
90	35	02.11.2013	s29
91	31	08.11.2013	s2
92	21	11.11.2013	s30
93	13	09.12.2013	s14
94	40	09.12.2013	s24
95	4	14.12.2013	s6
96	52	31.12.2013	s18
97	7	14.01.2014	s28
98	41	05.02.2014	s27
99	9	18.02.2014	s9
100	3	02.03.2014	s31
101	25	14.03.2014	s26
102	26	03.04.2014	s6
103	22	24.04.2014	s22
104	10	28.04.2014	s16
105	16	02.06.2014	s27
106	27	09.06.2014	s21
107	24	17.06.2014	s6
108	31	22.06.2014	s29
109	20	28.06.2014	s6
110	13	03.07.2014	s15
111	1	28.07.2014	s12
112	36	31.07.2014	s32
113	35	06.08.2014	s23
114	3	29.08.2014	s24
115	23	01.09.2014	s7
116	2	03.09.2014	s27
117	6	10.09.2014	s20
118	52	17.10.2014	s4
119	9	31.10.2014	s17
120	21	17.11.2014	s31
121	4	18.11.2014	s25
122	41	24.11.2014	s6
123	26	28.11.2014	s3
124	7	07.12.2014	s31
125	40	20.12.2014	s8
126	13	06.01.2015	s27
127	25	09.01.2015	s5
128	28	17.01.2015	s26
129	1	15.02.2015	s19
130	10	02.03.2015	s27
131	16	20.03.2015	s19
132	22	22.03.2015	s27
133	3	02.04.2015	s10
134	20	09.04.2015	s10
135	27	22.04.2015	s6
136	9	13.05.2015	s5
137	35	07.06.2015	s15
138	31	16.06.2015	s22
139	4	23.06.2015	s7
140	21	24.06.2015	s5
141	24	26.06.2015	s5
142	52	05.07.2015	s21
143	36	04.08.2015	s3
144	2	14.08.2015	s8
145	13	17.08.2015	s1
146	41	20.08.2015	s11
147	6	07.09.2015	s10
148	10	19.09.2015	s14
149	23	19.09.2015	s6
150	16	21.09.2015	s31
151	26	28.09.2015	s6
152	28	06.10.2015	s15
153	20	25.10.2015	s9
154	40	26.10.2015	s20
155	3	19.12.2015	s26
156	7	26.12.2015	s22
157	22	04.01.2016	s24
158	4	16.01.2016	s29
159	1	20.01.2016	s6
160	21	21.01.2016	s1
161	24	26.01.2016	s27
162	31	27.01.2016	s21
163	25	01.02.2016	s2
164	13	18.02.2016	s8
165	6	07.03.2016	s9
166	8	19.03.2016	s12
167	27	23.03.2016	s10
168	23	26.03.2016	s10
169	9	30.03.2016	s4
170	26	24.04.2016	s24
171	35	10.06.2016	s5
172	52	21.06.2016	s18
173	36	24.06.2016	s12
174	29	08.07.2016	s31
175	46	19.07.2016	s18
176	28	22.07.2016	s32
177	20	24.07.2016	s18
178	16	28.07.2016	s19
179	1	31.07.2016	s29
180	22	03.08.2016	s29
181	2	09.08.2016	s27
182	31	22.08.2016	s13
183	41	26.08.2016	s3
184	12	07.09.2016	s30
185	4	09.09.2016	s24
186	25	12.09.2016	s10
187	10	17.09.2016	s2
188	40	21.09.2016	s16
189	21	28.09.2016	s30
190	24	14.10.2016	s29
191	37	01.11.2016	s23
192	13	04.11.2016	s10
193	3	22.11.2016	s23
194	5	01.12.2016	s1
195	23	09.12.2016	s30
196	6	24.12.2016	s27
197	7	01.01.2017	s26
198	29	03.02.2017	s16
199	27	09.02.2017	s3
200	46	26.02.2017	s4
201	2	07.03.2017	s26
202	9	08.03.2017	s25
203	36	17.03.2017	s24
204	8	29.03.2017	s17
205	31	15.04.2017	s14
206	4	19.04.2017	s19
207	40	30.04.2017	s22
208	21	11.05.2017	s24
209	25	11.05.2017	s23
210	35	14.05.2017	s21
211	26	15.05.2017	s18
212	16	17.05.2017	s21
213	48	21.05.2017	s21
214	52	22.05.2017	s5
215	1	30.05.2017	s9
216	22	03.06.2017	s29
217	12	12.06.2017	s22
218	20	13.06.2017	s1
219	3	15.06.2017	s2
220	28	23.06.2017	s9
221	41	04.07.2017	s23
222	37	09.08.2017	s8
223	27	15.08.2017	s15
224	7	01.09.2017	s24
225	42	04.09.2017	s23
226	10	16.09.2017	s15
227	23	23.09.2017	s2
228	32	01.10.2017	s8
229	5	16.10.2017	s19
230	13	22.10.2017	s24
231	24	03.11.2017	s25
232	2	06.11.2017	s9
233	26	16.11.2017	s28
234	48	18.11.2017	s9
235	35	27.11.2017	s17
236	51	04.12.2017	s25
237	8	31.12.2017	s22
238	41	03.01.2018	s31
239	46	11.01.2018	s16
240	6	16.01.2018	s21
241	20	17.01.2018	s10
242	29	04.02.2018	s2
243	31	07.02.2018	s24
244	16	08.02.2018	s29
245	21	17.02.2018	s26
246	25	20.02.2018	s5
247	28	23.02.2018	s18
248	1	05.03.2018	s13
249	44	05.03.2018	s5
250	19	08.03.2018	s16
251	12	09.03.2018	s14
252	40	12.03.2018	s27
253	36	22.03.2018	s23
254	7	23.03.2018	s1
255	4	30.03.2018	s7
256	9	02.04.2018	s3
257	14	02.04.2018	s31
258	10	16.04.2018	s29
259	23	17.04.2018	s15
260	27	25.04.2018	s15
261	52	01.05.2018	s11
262	5	07.05.2018	s23
263	32	10.05.2018	s5
264	3	08.06.2018	s17
265	22	22.06.2018	s22
266	42	26.06.2018	s8
267	48	03.07.2018	s25
268	2	10.07.2018	s29
269	13	17.07.2018	s8
270	18	24.07.2018	s6
271	20	29.07.2018	s23
272	37	11.08.2018	s22
273	6	13.08.2018	s10
274	31	17.08.2018	s14
275	39	19.08.2018	s2
276	19	18.09.2018	s12
277	24	19.09.2018	s32
278	14	29.09.2018	s30
279	43	29.10.2018	s19
280	27	02.11.2018	s20
281	8	07.11.2018	s20
282	21	08.11.2018	s22
283	26	24.11.2018	s7
284	38	30.11.2018	s30
285	35	01.12.2018	s1
286	1	15.12.2018	s15
287	23	15.12.2018	s22
288	12	21.12.2018	s8
289	41	25.12.2018	s26
290	51	28.12.2018	s31
291	44	29.12.2018	s25
292	16	09.01.2019	s25
293	4	19.01.2019	s15
294	46	20.01.2019	s30
295	15	26.01.2019	s5
296	29	26.01.2019	s19
297	22	02.02.2019	s15
298	28	10.02.2019	s31
299	13	12.02.2019	s12
300	25	09.03.2019	s21
301	40	13.03.2019	s17
302	52	19.03.2019	s13
303	5	21.03.2019	s31
304	36	01.04.2019	s16
305	30	03.04.2019	s12
306	32	03.04.2019	s24
307	6	12.04.2019	s14
308	7	12.04.2019	s6
309	9	12.04.2019	s10
310	2	15.04.2019	s11
311	19	21.04.2019	s15
312	48	22.04.2019	s14
313	10	03.05.2019	s27
314	39	10.05.2019	s29
315	18	14.05.2019	s8
316	42	17.05.2019	s29
317	14	19.05.2019	s5
318	37	20.05.2019	s27
319	20	21.05.2019	s27
320	43	22.05.2019	s10
321	26	23.05.2019	s13
322	24	06.06.2019	s2
323	21	11.06.2019	s5
324	3	23.06.2019	s17
325	17	06.07.2019	s29
326	38	10.07.2019	s27
327	8	12.07.2019	s22
328	4	20.07.2019	s16
329	12	21.07.2019	s18
330	44	04.08.2019	s30
331	27	06.08.2019	s27
332	41	14.08.2019	s16
333	33	02.09.2019	s21
334	31	03.09.2019	s16
335	29	23.09.2019	s31
336	52	24.09.2019	s21
337	46	26.09.2019	s22
338	16	07.10.2019	s6
339	1	14.10.2019	s6
340	15	16.10.2019	s3
341	22	20.10.2019	s10
342	35	20.10.2019	s8
343	23	21.10.2019	s22
344	51	26.10.2019	s3
345	39	07.11.2019	s7
346	10	16.11.2019	s5
347	24	07.12.2019	s4
348	42	24.12.2019	s2
349	28	28.12.2019	s28
350	18	06.01.2020	s26
351	19	11.01.2020	s7
352	34	12.01.2020	s22
353	2	17.01.2020	s4
354	3	25.01.2020	s16
355	48	25.01.2020	s14
356	37	01.02.2020	s32
357	45	03.02.2020	s27
358	40	08.02.2020	s16
359	20	09.02.2020	s9
360	36	16.02.2020	s13
361	13	23.02.2020	s30
362	6	26.02.2020	s30
363	25	27.02.2020	s22
364	31	02.03.2020	s5
365	32	04.03.2020	s16
366	44	04.03.2020	s22
367	14	06.03.2020	s29
368	21	12.03.2020	s14
369	5	15.03.2020	s6
370	9	17.03.2020	s24
371	7	30.03.2020	s19
372	30	03.04.2020	s1
373	12	12.04.2020	s17
374	17	12.04.2020	s20
375	43	13.04.2020	s30
376	4	15.04.2020	s16
377	27	15.04.2020	s27
378	26	30.04.2020	s29
379	35	08.05.2020	s14
380	51	09.05.2020	s32
381	11	20.05.2020	s23
382	16	31.05.2020	s30
383	23	13.06.2020	s17
384	24	26.06.2020	s5
385	41	30.06.2020	s26
386	8	04.07.2020	s17
387	29	08.07.2020	s30
388	38	12.07.2020	s21
389	15	18.07.2020	s16
390	42	21.07.2020	s7
391	22	26.07.2020	s24
392	3	28.07.2020	s3
393	46	30.07.2020	s15
394	34	14.08.2020	s32
395	48	14.08.2020	s4
396	39	17.08.2020	s32
397	20	18.08.2020	s27
398	1	25.08.2020	s17
399	37	30.08.2020	s21
400	52	08.09.2020	s6
401	47	09.09.2020	s30
402	6	15.09.2020	s28
403	33	18.09.2020	s17
404	18	29.09.2020	s13
405	2	07.10.2020	s15
406	44	15.10.2020	s1
407	10	06.11.2020	s32
408	35	08.11.2020	s19
409	40	11.11.2020	s12
410	9	12.11.2020	s16
411	31	13.11.2020	s12
412	19	17.11.2020	s13
413	27	05.12.2020	s24
414	51	06.12.2020	s8
415	4	09.12.2020	s10
416	17	28.12.2020	s29
417	28	05.01.2021	s25
418	7	11.01.2021	s25
419	13	11.01.2021	s13
420	29	11.01.2021	s24
421	41	14.01.2021	s20
422	45	19.01.2021	s32
423	16	26.01.2021	s12
424	5	03.02.2021	s15
425	14	03.02.2021	s23
426	38	06.02.2021	s1
427	46	24.02.2021	s2
428	32	01.03.2021	s16
429	37	06.03.2021	s12
430	36	11.03.2021	s27
431	21	14.03.2021	s18
432	12	15.03.2021	s6
433	25	15.03.2021	s27
434	6	20.03.2021	s2
435	22	22.03.2021	s11
436	8	01.04.2021	s31
437	2	08.04.2021	s3
438	30	09.04.2021	s24
439	39	11.04.2021	s32
440	48	11.04.2021	s10
441	26	12.04.2021	s8
442	43	12.04.2021	s24
443	44	14.04.2021	s3
444	11	03.05.2021	s17
445	23	09.05.2021	s11
446	34	28.05.2021	s2
447	47	08.06.2021	s27
448	31	16.06.2021	s24
449	3	27.06.2021	s26
450	18	27.06.2021	s12
451	33	30.06.2021	s24
452	15	06.07.2021	s30
453	40	07.07.2021	s29
454	51	11.07.2021	s5
455	24	17.07.2021	s14
456	52	23.07.2021	s29
457	42	08.08.2021	s13
458	4	17.08.2021	s14
459	5	17.08.2021	s12
460	1	21.08.2021	s2
461	20	26.08.2021	s16
462	35	02.09.2021	s3
463	37	11.09.2021	s2
464	25	04.10.2021	s8
465	29	05.10.2021	s30
466	12	10.10.2021	s8
467	6	21.10.2021	s19
468	27	22.10.2021	s27
469	28	23.10.2021	s25
470	43	26.10.2021	s7
471	11	31.10.2021	s7
472	19	09.11.2021	s19
473	38	11.11.2021	s20
474	45	11.11.2021	s20
475	14	18.11.2021	s3
476	36	20.11.2021	s24
477	7	28.11.2021	s28
478	10	30.11.2021	s18
479	44	01.12.2021	s17
480	9	02.12.2021	s16
481	17	06.12.2021	s8
482	22	07.12.2021	s10
483	34	09.12.2021	s22
484	32	11.12.2021	s26
485	26	17.12.2021	s22
486	13	21.12.2021	s29
487	30	24.12.2021	s29
488	50	31.12.2021	s4
489	16	07.01.2022	s1
490	48	17.01.2022	s15
491	46	19.01.2022	s17
492	41	20.01.2022	s25
493	2	26.01.2022	s29
494	21	10.02.2022	s25
495	1	17.02.2022	s15
496	47	17.02.2022	s1
497	23	23.02.2022	s4
498	24	17.03.2022	s28
499	42	25.03.2022	s29
500	8	26.03.2022	s16
501	51	30.03.2022	s26
502	3	17.04.2022	s19
503	12	21.04.2022	s29
504	39	21.04.2022	s8
505	49	25.04.2022	s3
506	38	15.05.2022	s10
507	52	16.05.2022	s20
508	15	17.05.2022	s25
509	40	17.05.2022	s17
510	35	18.05.2022	s32
511	28	27.05.2022	s5
512	45	10.06.2022	s3
513	33	12.06.2022	s8
514	20	24.06.2022	s21
515	6	12.07.2022	s32
516	36	14.07.2022	s24
517	5	21.07.2022	s11
518	32	22.07.2022	s20
519	4	28.07.2022	s15
520	50	28.07.2022	s10
521	19	07.08.2022	s6
522	30	11.08.2022	s13
523	41	16.08.2022	s27
524	13	28.08.2022	s26
525	34	31.08.2022	s9
526	16	04.09.2022	s30
527	21	15.09.2022	s15
528	31	18.09.2022	s26
529	14	24.09.2022	s1
530	26	08.10.2022	s12
531	43	09.10.2022	s19
532	7	24.10.2022	s20
533	29	26.10.2022	s19
534	48	01.11.2022	s19
535	10	02.11.2022	s19
536	17	05.11.2022	s1
537	49	06.11.2022	s28
538	9	17.11.2022	s19
539	44	18.11.2022	s19
540	25	23.11.2022	s19
541	26	23.11.2022	s19
542	11	25.11.2022	s20
543	37	27.11.2022	s19
544	51	08.12.2022	s19
545	22	11.12.2022	s19
546	24	11.12.2022	s19
547	46	15.12.2022	s19
548	28	26.12.2022	s19
549	1	05.01.2023	s19
550	5	09.01.2023	s28
551	5	24.01.2023	s19
552	14	26.01.2023	s19
553	52	10.02.2023	s19
554	18	13.02.2023	s19
555	33	14.02.2023	s20
556	2	15.02.2023	s19
557	27	19.02.2023	s19
558	10	02.03.2023	s1
559	47	09.03.2023	s19
560	23	12.03.2023	s19
561	3	15.03.2023	s24
562	7	19.03.2023	s19
563	15	20.03.2023	s19
564	48	10.04.2023	s4
565	42	19.04.2023	s19
566	39	21.04.2023	s19
567	31	25.04.2023	s19
568	9	28.04.2023	s18
569	36	28.04.2023	s19
570	20	03.05.2023	s19
571	29	03.05.2023	s28
572	35	05.05.2023	s19
573	43	08.05.2023	s25
574	45	10.05.2023	s21
575	8	19.05.2023	s19
576	27	19.05.2023	s30
577	34	28.05.2023	s13
578	38	28.05.2023	s19
579	32	02.06.2023	s19
580	40	11.06.2023	s19
581	11	12.06.2023	s16
582	21	13.06.2023	s19
583	41	17.06.2023	s19
584	22	18.06.2023	s7
585	23	18.06.2023	s8
586	44	18.06.2023	s9
587	12	03.07.2023	s19
588	50	07.07.2023	s3
589	26	07.07.2023	s29
590	17	13.07.2023	s19
591	37	19.07.2023	s14
592	30	20.07.2023	s19
593	19	24.07.2023	s19
594	4	29.07.2023	s19
595	24	05.08.2023	s4
596	25	05.08.2023	s27
597	41	16.08.2023	s1
598	47	24.08.2023	s14
599	16	06.09.2023	s19
600	49	06.09.2023	s16
601	28	07.09.2023	s9
602	46	09.09.2023	s18
603	18	18.09.2023	s11
604	51	20.09.2023	s20
605	42	24.09.2023	s28
606	6	24.09.2023	s26
607	39	27.09.2023	s8
608	13	29.09.2023	s5
